Braund, Mr. Owen Harris
Persson, Mr. Ernst Ulrik
Bissette, Miss. Amelia
Cairns, Mr. Alexander
Tornquist, Mr. William Henry
Natsch, Mr. Charles H
Healy, Miss. Hanora 
Andrews, Miss. Kornelia Theodosia
Lindblom, Miss. Augusta Charlotta
Parkes, Mr. Francis 
Rice, Master. Eric
Duane, Mr. Frank
Olsson, Mr. Nils Johan Goransson
de Pelsmaeker, Mr. Alfons
Dorking, Mr. Edward Arthur
Smith, Mr. Richard William
Stankovic, Mr. Ivan
de Mulder, Mr. Theodore
Naidenoff, Mr. Penko
Hosono, Mr. Masabumi
Connolly, Miss. Kate
Barber, Miss. Ellen 
Levy, Mr. Rene Jacques
Haas, Miss. Aloisia
Mineff, Mr. Ivan
Lewy, Mr. Ervin G
Hanna, Mr. Mansour
Allison, Miss. Helen Loraine
Saalfeld, Mr. Adolphe
Kelly, Miss. Anna Katherine 
McCoy, Mr. Bernard
Johnson, Mr. William Cahoone Jr
Keane, Miss. Nora A
Williams, Mr. Howard Hugh 
Allison, Master. Hudson Trevor
Fleming, Miss. Margaret
Abelson, Mr. Samuel
Francatelli, Miss. Laura Mabel
Hays, Miss. Margaret Bechstein
Ryerson, Miss. Emily Borie
Hendekovic, Mr. Ignjac
Hart, Mr. Benjamin
Nilsson, Miss. Helmina Josefina
Moraweck, Dr. Ernest
Wick, Miss. Mary Natalie
Dennis, Mr. Samuel
Danoff, Mr. Yoto
Slayter, Miss. Hilda Mary
Sage, Mr. George John Jr
Young, Miss. Marie Grice
Nysveen, Mr. Johan Hansen
Hippach, Miss. Jean Gertrude
McCoy, Miss. Agnes
Partner, Mr. Austen
Graham, Mr. George Edward
Vander Planke, Mr. Leo Edmondus
Denkoff, Mr. Mitto
Pears, Mr. Thomas Clinton
Burns, Miss. Elizabeth Margaret
Dahl, Mr. Karl Edwart
Blackwell, Mr. Stephen Weart
Navratil, Master. Edmond Roger
Fortune, Miss. Alice Elizabeth
Collander, Mr. Erik Gustaf
Sedgwick, Mr. Charles Frederick Waddington
Fox, Mr. Stanley Hubert
Brown, Miss. Amelia 
Smith, Miss. Marion Elsie
Coutts, Master. William Loch 
Dimic, Mr. Jovan
Odahl, Mr. Nils Martin
Williams-Lambert, Mr. Fletcher Fellows
Elias, Mr. Tannous
Arnold-Franchi, Mr. Josef
Yousif, Mr. Wazli
Vanden Steen, Mr. Leo Peter
Bowerman, Miss. Elsie Edith
Funk, Miss. Annie Clemmer
McGovern, Miss. Mary
Mockler, Miss. Helen Mary 
Skoog, Mr. Wilhelm
del Carlo, Mr. Sebastiano
Asim, Mr. Adola
O'Brien, Mr. Thomas
Adahl, Mr. Mauritz Nils Martin
Jermyn, Miss. Annie
Aubart, Mme. Leontine Pauline
Harder, Mr. George Achilles
Wiklund, Mr. Jakob Alfred
Beavan, Mr. William Thomas
Ringhini, Mr. Sante
Palsson, Miss. Stina Viola
Landergren, Miss. Aurora Adelia
Widener, Mr. Harry Elkins
Betros, Mr. Tannous
Gustafsson, Mr. Karl Gideon
Bidois, Miss. Rosalie
Tikkanen, Mr. Juho
Plotcharsky, Mr. Vasil
Davies, Mr. Charles Henry
Goodwin, Master. Sidney Leonard
Buss, Miss. Kate
Sadlier, Mr. Matthew
Lehmann, Miss. Bertha
Carter, Mr. William Ernest
Jansson, Mr. Carl Olof
Gustafsson, Mr. Johan Birger
Newell, Miss. Marjorie
Johansson, Mr. Erik
Olsson, Miss. Elina
McKane, Mr. Peter David
Pain, Dr. Alfred
Niskanen, Mr. Juha
Adams, Mr. John
Jussila, Miss. Mari Aina
Hakkarainen, Mr. Pekka Pietari
Oreskovic, Miss. Marija
Gale, Mr. Shadrach
Widegren, Mr. Carl/Charles Peter
Richards, Master. William Rowe
Birkeland, Mr. Hans Martin Monsen
Lefebre, Miss. Ida
Sdycoff, Mr. Todor
Hart, Mr. Henry
Minahan, Miss. Daisy E
Cunningham, Mr. Alfred Fleming
Sundman, Mr. Johan Julian
Silven, Miss. Lyyli Karoliina
Matthews, Mr. William John
Van Impe, Miss. Catharina
Gheorgheff, Mr. Stanio
Charters, Mr. David
Zimmerman, Mr. Leo
Rosblom, Mr. Viktor Richard
Wiseman, Mr. Phillippe
Flynn, Mr. James
Bjornstrom-Steffansson, Mr. Mauritz Hakan
Kallio, Mr. Nikolai Erland
Silvey, Mr. William Baird
Carter, Miss. Lucile Polk
Ford, Miss. Doolina Margaret 
Fortune, Mr. Mark
Kvillner, Mr. Johan Henrik Johannesson
Hampe, Mr. Leon
Petterson, Mr. Johan Emil
Reynaldo, Ms. Encarnacion
Johannesen-Bratthammer, Mr. Bernt
Dodge, Master. Washington
Mellinger, Miss. Madeleine Violet
Seward, Mr. Frederic Kimber
Baclini, Miss. Marie Catherine
Peuchen, Major. Arthur Godfrey
West, Mr. Edwy Arthur
Hagland, Mr. Ingvald Olai Olsen
Foreman, Mr. Benjamin Laventall
Goldenberg, Mr. Samuel L
Peduzzi, Mr. Joseph
Jalsevac, Mr. Ivan
Millet, Mr. Francis Davis
Toomey, Miss. Ellen
O'Connor, Mr. Maurice
Anderson, Mr. Harry
Morley, Mr. William
Gee, Mr. Arthur H
Milling, Mr. Jacob Christian
Maisner, Mr. Simon
Goncalves, Mr. Manuel Estanslas
Campbell, Mr. William
Smart, Mr. John Montgomery
Scanlan, Mr. James
Baclini, Miss. Helene Barbara
Keefe, Mr. Arthur
Cacic, Mr. Luka
Strandberg, Miss. Ida Sofia
Clifford, Mr. George Quincy
Renouf, Mr. Peter Henry
Braund, Mr. Lewis Richard
Karlsson, Mr. Nils August
Hirvonen, Miss. Hildur E
Goodwin, Master. Harold Victor
Frost, Mr. Anthony Wood 
Rouse, Mr. Richard Henry
Bishop, Mr. Dickinson H
Lefebre, Miss. Jeannie
Kent, Mr. Edward Austin
Somerton, Mr. Francis William
Coutts, Master. Eden Leslie 
Hagland, Mr. Konrad Mathias Reiersen
Windelov, Mr. Einar
Molson, Mr. Harry Markland
Artagaveytia, Mr. Ramon
Stanley, Mr. Edward Roland
Yousseff, Mr. Gerious
Eustis, Miss. Elizabeth Mussey
Shellard, Mr. Frederick William
Svensson, Mr. Olof
Calic, Mr. Petar
Canavan, Miss. Mary
O'Sullivan, Miss. Bridget Mary
Laitinen, Miss. Kristina Sofia
Maioni, Miss. Roberta
Penasco y Castellana, Mr. Victor de Satode
Olsen, Mr. Henry Margido
Lang, Mr. Fang
Daly, Mr. Eugene Patrick
Webber, Mr. James
McGough, Mr. James Robert
Coleff, Mr. Satio
Walker, Mr. William Anderson
Ryan, Mr. Patrick
Pavlovic, Mr. Stefo
Perreault, Miss. Anne
Vovk, Mr. Janko
Lahoud, Mr. Sarkis
Kassem, Mr. Fared
Farrell, Mr. James
Ridsdale, Miss. Lucy
Farthing, Mr. John
Salonen, Mr. Johan Werner
Hocking, Mr. Richard George
Quick, Miss. Phyllis May
Toufik, Mr. Nakli
Elias, Mr. Joseph Jr
Cacic, Miss. Marija
Hart, Miss. Eva Miriam
Butt, Major. Archibald Willingham
LeRoy, Miss. Bertha
Risien, Mr. Samuel Beard
Frolicher, Miss. Hedwig Margaritha
Crosby, Miss. Harriet R
Andersson, Miss. Ingeborg Constanzia
Andersson, Miss. Sigrid Elisabeth
Beane, Mr. Edward
Douglas, Mr. Walter Donald
Nicholson, Mr. Arthur Ernest
Padro y Manent, Mr. Julian
Goldsmith, Mr. Frank John
Davies, Master. John Morgan Jr
Thayer, Mr. John Borland Jr
Sharp, Mr. Percival James R
O'Brien, Mr. Timothy
Ohman, Miss. Velin
Wright, Mr. George
Robbins, Mr. Victor
Morrow, Mr. Thomas Rowan
Sivic, Mr. Husein
Norman, Mr. Robert Douglas
Simmons, Mr. John
Davies, Mr. Alfred J
Stoytcheff, Mr. Ilia
Doharr, Mr. Tannous
Jonsson, Mr. Carl
Harris, Mr. George
Kelly, Miss. Mary
Rush, Mr. Alfred George John
Patchett, Mr. George
Garside, Miss. Ethel
Jussila, Mr. Eiriik
Christy, Miss. Julie Rachel
Downton, Mr. William James
Ross, Mr. John Hugo
Paulner, Mr. Uscher
Taussig, Miss. Ruth
Jarvis, Mr. John Denzil
Frolicher-Stehli, Mr. Maxmillian
Gilinski, Mr. Eliezer
Murdlin, Mr. Joseph
Rintamaki, Mr. Matti
Elsbury, Mr. William James
Bourke, Miss. Mary
Chapman, Mr. John Henry
Van Impe, Mr. Jean Baptiste
Leitch, Miss. Jessie Wills
Johnson, Mr. Alfred
Boulos, Mr. Hanna
Slabenoff, Mr. Petco
Harrington, Mr. Charles H
Torber, Mr. Ernst William
Lindell, Mr. Edvard Bengtsson
Karaic, Mr. Milan
Daniel, Mr. Robert Williams
Shutes, Miss. Elizabeth W
Jardin, Mr. Jose Neto
Murphy, Miss. Margaret Jane
Horgan, Mr. John
Brocklebank, Mr. William Alfred
Herman, Miss. Alice
Danbom, Mr. Ernst Gilbert
Becker, Miss. Marion Louise
Gavey, Mr. Lawrence
Yasbeck, Mr. Antoni
Kimball, Mr. Edwin Nelson Jr
Nakid, Mr. Sahid
Hansen, Mr. Henry Damsgaard
Bowen, Mr. David John 
Sutton, Mr. Frederick
Kirkland, Rev. Charles Leonard
Longley, Miss. Gretchen Fiske
Bostandyeff, Mr. Guentcho
O'Connell, Mr. Patrick D
Barkworth, Mr. Algernon Henry Wilson
Lundahl, Mr. Johan Svensson
Stahelin-Maeglin, Dr. Max
Parr, Mr. William Henry Marsh
Skoog, Miss. Mabel
Davis, Miss. Mary
Leinonen, Mr. Antti Gustaf
Collyer, Mr. Harvey
Thorneycroft, Mr. Percival
Jensen, Mr. Hans Peder
Sagesser, Mlle. Emma
Skoog, Miss. Margit Elizabeth
Foo, Mr. Choong
Baclini, Miss. Eugenie
Harper, Mr. Henry Sleeper
Cor, Mr. Liudevit
Simonius-Blumer, Col. Oberst Alfons
Willey, Mr. Edward
Stanley, Miss. Amy Zillah Elsie
Mitkoff, Mr. Mito
Doling, Miss. Elsie
Kalvik, Mr. Johannes Halvorsen
O'Leary, Miss. Hanora 
Hegarty, Miss. Hanora 
Hickman, Mr. Leonard Mark
Radeff, Mr. Alexander
Eitemiller, Mr. George Floyd
Newell, Mr. Arthur Webster
Frauenthal, Dr. Henry William
Badt, Mr. Mohamed
Colley, Mr. Edward Pomeroy
Coleff, Mr. Peju
Lindqvist, Mr. Eino William
Hickman, Mr. Lewis
Butler, Mr. Reginald Fenton
Rommetvedt, Mr. Knud Paust
Cook, Mr. Jacob
Davidson, Mr. Thornton
Mitchell, Mr. Henry Michael
Wilhelms, Mr. Charles
Watson, Mr. Ennis Hastings
Edvardsson, Mr. Gustaf Hjalmar
Sawyer, Mr. Frederick Charles
Turja, Miss. Anna Sofia
Cardeza, Mr. Thomas Drake Martinez
Peters, Miss. Katie
Hassab, Mr. Hammad
Olsvigen, Mr. Thor Anderson
Goodwin, Mr. Charles Edward
Brown, Mr. Thomas William Solomon
Laroche, Mr. Joseph Philippe Lemercier
Panula, Mr. Jaako Arnold
Dakic, Mr. Branko
Fischer, Mr. Eberhard Thelander
Madill, Miss. Georgette Alexandra
Dick, Mr. Albert Adrian
Karun, Miss. Manca
Lam, Mr. Ali
Saad, Mr. Khalil
Weir, Col. John
Chapman, Mr. Charles Henry
Kelly, Mr. James
Mullens, Miss. Katherine 
Thayer, Mr. John Borland
Humblen, Mr. Adolf Mathias Nicolai Olsen
Silverthorne, Mr. Spencer Victor
Barbara, Miss. Saiide
Gallagher, Mr. Martin
Hansen, Mr. Henrik Juul
Kelly, Mrs. Florence 
Calderhead, Mr. Edward Pennington
Cleaver, Miss. Alice
Klaber, Mr. Herman
Taylor, Mr. Elmer Zebley
Larsson, Mr. August Viktor
Greenberg, Mr. Samuel
Soholt, Mr. Peter Andreas Lauritz Andersen
Endres, Miss. Caroline Louise
Troutt, Miss. Edwina Celia 
McEvoy, Mr. Michael
Johnson, Mr. Malkolm Joackim
Harper, Miss. Annie Jessie 
Jensen, Mr. Svend Lauritz
Gillespie, Mr. William Henry
Hodges, Mr. Henry Price
Chambers, Mr. Norman Campbell
Oreskovic, Mr. Luka
Mannion, Miss. Margareth
Bryhl, Mr. Kurt Arnold Gottfrid
Ilmakangas, Miss. Pieta Sofia
Allen, Miss. Elisabeth Walton
Hassan, Mr. Houssein G N
Knight, Mr. Robert J
Berriman, Mr. William John
Troupiansky, Mr. Moses Aaron
Williams, Mr. Leslie
Lesurer, Mr. Gustave J
Ivanoff, Mr. Kanio
Nankoff, Mr. Minko
Hawksford, Mr. Walter James
Cavendish, Mr. Tyrell William
Ryerson, Miss. Susan Parker 
McNamee, Mr. Neal
Stranden, Mr. Juho
Crosby, Capt. Edward Gifford
Abbott, Mr. Rossmore Edward
Sinkkonen, Miss. Anna
Marvin, Mr. Daniel Warner
Connaghton, Mr. Michael
Wells, Miss. Joan
Moor, Master. Meier
Vande Velde, Mr. Johannes Joseph
Jonkoff, Mr. Lalio
Hamalainen, Master. Viljo
Carlsson, Mr. August Sigfrid
Bailey, Mr. Percy Andrew
Theobald, Mr. Thomas Leonard
Garfirth, Mr. John
Nirva, Mr. Iisakki Antino Aijo
Barah, Mr. Hanna Assi
Eklund, Mr. Hans Linus
Brewe, Dr. Arthur Jackson
Mangan, Miss. Mary
Moran, Mr. Daniel J
Gronnestad, Mr. Daniel Danielsen
Lievens, Mr. Rene Aime
Jensen, Mr. Niels Peder
Elias, Mr. Dibo
Myhrman, Mr. Pehr Fabian Oliver Malkolm
Tobin, Mr. Roger
Emanuel, Miss. Virginia Ethel
Kilgannon, Mr. Thomas J
Ayoub, Miss. Banoura
Long, Mr. Milton Clyde
Johnston, Mr. Andrew G
Ali, Mr. William
Sjoblom, Miss. Anna Sofia
Rice, Master. George Hugh
Dean, Master. Bertram Vere
Guggenheim, Mr. Benjamin
Keane, Mr. Andrew 
Gaskell, Mr. Alfred
Sage, Miss. Stella Anna
Hoyt, Mr. William Fisher
Dantcheff, Mr. Ristiu
Otter, Mr. Richard
Osman, Mrs. Mara
Ibrahim Shawah, Mr. Yousseff
Ponesell, Mr. Martin
Carter, Master. William Thornton II
Thomas, Master. Assad Alexander
Hedman, Mr. Oskar Arvid
Johansson, Mr. Karl Johan
Andrews, Mr. Thomas Jr
Pettersson, Miss. Ellen Natalia
Meyer, Mr. August
Alexander, Mr. William
Lester, Mr. James
Slemen, Mr. Richard James
Andersson, Miss. Ebba Iris Alfrida
Tomlin, Mr. Ernest Portage
Fry, Mr. Richard
Heininen, Miss. Wendla Maria
Mallet, Mr. Albert
Holm, Mr. John Fredrik Alexander
Skoog, Master. Karl Thorsten
Lulic, Mr. Nikola
Reuchlin, Jonkheer. John George
Panula, Master. Urho Abraham
Flynn, Mr. John
Lam, Mr. Len
Mallet, Master. Andre
McCormack, Mr. Thomas Joseph
Richards, Master. George Sibley
Saad, Mr. Amin
Augustsson, Mr. Albert
Allum, Mr. Owen George
Compton, Miss. Sara Rebecca
Pasic, Mr. Jakob
Sirota, Mr. Maurice
Chip, Mr. Chang
Marechal, Mr. Pierre
Alhomaki, Mr. Ilmari Rudolf
Mudd, Mr. Thomas Charles
Serepeca, Miss. Augusta
Lemberopolous, Mr. Peter L
Culumovic, Mr. Jeso
Abbing, Mr. Anthony
Sage, Mr. Douglas Bullen
Markoff, Mr. Marin
Harper, Rev. John
Andersson, Master. Sigvard Harald Elias
Svensson, Mr. Johan
Boulos, Miss. Nourelain
Lines, Miss. Mary Conover
Daly, Mr. Peter Denis 
Razi, Mr. Raihed
Hansen, Mr. Claus Peter
Giles, Mr. Frederick Edward
Sage, Miss. Dorothy Edith 
Gill, Mr. John William
Duran y More, Miss. Asuncion
Roebling, Mr. Washington Augustus II
van Melkebeke, Mr. Philemon
Johnson, Master. Harold Theodor
Balkic, Mr. Cerin
Carlsson, Mr. Frans Olof
Vander Cruyssen, Mr. Victor
Najib, Miss. Adele Kiamie 
Gustafsson, Mr. Alfred Ossian
Petroff, Mr. Nedelio
Laleff, Mr. Kristo
Markun, Mr. Johann
Dahlberg, Miss. Gerda Ulrika
Banfield, Mr. Frederick James
Sutehall, Mr. Henry Jr
Montvila, Rev. Juozas
Graham, Miss. Margaret Edith
Johnston, Miss. Catherine Helen 
Behr, Mr. Karl Howell
Dooley, Mr. Patrick
Petroff, Mr. Pastcho 
Andersson, Mr. August Edvard 
Navratil, Mr. Michel 
Watt, Mrs. James 
O'Brien, Mrs. Thomas 
Romaine, Mr. Charles Hallace 
Yrois, Miss. Henriette 
Lovell, Mr. John Hall 
Nakid, Miss. Maria 
Phillips, Miss. Kate Florence 
Bradley, Mr. George 
Angle, Mrs. William A 
Leeni, Mr. Fahim 
Duff Gordon, Lady. 
Flynn, Mr. John Irwin 
Duff Gordon, Sir. Cosmo Edmund 
Homer, Mr. Harry 
Morley, Mr. Henry Samuel 
Moubarek, Master. Halim Gonios 
Mayne, Mlle. Berthe Antonine 
