"Name"|"Age"|"Class/Dept"|"Ticket"|"Fare"|"Group"|"Ship"|"Joined"|"Job"|"Boat"|"Body"
"BILLOW, Mr J."|20|"Engine"|||||"Southampton"|"Trimmer"||
"BINSTEAD, Mr Walter"|19|"Engine"|||||"Southampton"|"Trimmer"|"3"|
"BLACK, Mr Alexander"|28|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"BLACK, Mr D."|41|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"BLACKMAN, Mr H."|24|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"BLAKE, Mr Percival Albert"|22|"Engine"|||||"Southampton"|"Trimmer"||
"BLAKE, Mr Seaton"|26|"Engine"|||||"Belfast"|"Mess Steward"||
"BLAKE, Mr Thomas"|36|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"BLANEY, Mr James"|32|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"BLANN, Mr Eustace Horatius"|21|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"BOTT, Mr W."|44|"Engine"|||||"Southampton"|"Greaser"||
"BRADLEY, Mr Patrick Joseph"|39|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"BREWER, Mr Henry (""Harry"")"|30|"Engine"|||||"Southampton"|"Trimmer"||
"BRIANT, Mr Albert"|34|"Engine"|||||"Southampton"|"Greaser"||
"BROOKS, Mr J."|25|"Engine"|||||"Southampton"|"Trimmer"||
"BROWN, Mr John"|25|"Engine"|||||"Southampton"|"Fireman / Stoker"||"267"
"BROWN, Mr Joseph James"|25|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"BURROUGHS, Mr Arthur"|35|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"BURTON, Mr Edward John"|32|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"BUTT, Mr William John"|30|"Engine"|||||"Southampton"|"Fireman / Stoker"||"77"
"CALDERWOOD, Mr Hugh"|30|"Engine"|||||"Belfast"|"Trimmer"||
"CANNER, Mr J."|40|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"CARR, Mr Richard Stephen"|37|"Engine"|||||"Southampton"|"Trimmer"||
"CARTER (BALL), Mr James (W.)"|46|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"CASEY, Mr T."|28|"Engine"|||||"Southampton"|"Trimmer"||
"CASTLEMAN, Mr Edward"|37|"Engine"|||||"Southampton"|"Greaser"||
"CAVELL, Mr George Henry"|22|"Engine"|||||"Southampton"|"Trimmer"||
"CHERRETT, Mr William Victor"|24|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"CHISNALL, Mr George Alexander"|35|"Engine"|||||"Belfast"|"Boilermaker"||"111"
"CHORLEY, Mr John"|25|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"CLARK, Mr William"|39|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"COE, Mr Harry"|21|"Engine"|||||"Southampton"|"Trimmer"||
"COLEMAN, Mr John"|57|"Engine"|||||"Belfast"|"Mess Steward"||
"COLLINS, Mr Samuel"|35|"Engine"|||||"Southampton"|"Fireman / Stoker"|"1"|
"COMBES, Mr George"|34|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"COOPER, Mr Harry"|26|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"COOPER, Mr James"|25|"Engine"|||||"Southampton"|"Trimmer"||
"COPPERTHWAITE, Mr B."|22|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"CORCORAN, Mr Denny"|33|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"COTTON, Mr A."||"Engine"|||||"Southampton"|"Trimmer"||
"COUCH, Mr Joseph Henry"|45|"Engine"|||||"Southampton"|"Greaser"||
"COUPER, Mr Robert"|30|"Engine"|||||"Southampton"|"Fireman / Stoker"|"3"|
"COY, Mr Francis Ernest George"|26|"Engine"|||||"Belfast"|"Junior Assistant 3rd. Engineer"||
"CRABB, Mr H."|23|"Engine"|||||"Southampton"|"Trimmer"||
"CREESE, Mr Henry Philip"|44|"Engine"|||||"Belfast"|"Deck Engineer"||
"CRIMMINS, Mr James"|21|"Engine"|||||"Southampton"|"Fireman / Stoker"|"13"|
"CROSS, Mr W."|39|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"CUNNINGHAM, Mr B."|30|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"CURTIS, Mr Arthur"|25|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"DAVIES, Mr Thomas"|33|"Engine"|||||"Southampton"|"Leading Fireman"||
"DAWSON, Mr Joseph"|23|"Engine"|||||"Southampton"|"Trimmer"||"227"
"DIAPER, Mr John Joseph"|27|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"DICKSON, Mr W."|36|"Engine"|||||"Southampton"|"Trimmer"||
"DILLEY, Mr John"|30|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"DILLON, Mr Thomas Patrick"|24|"Engine"|||||"Southampton"|"Trimmer"||
"DODD, Mr Edward Charles"|38|"Engine"|||||"Belfast"|"Junior 3rd. Engineer"||
"DODDS, Mr Henry Watson"|27|"Engine"|||||"Southampton"|"Junior Assistant 4th Engineer"||
"DOEL, Mr Frederick"|22|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"DORE, Mr A."|22|"Engine"|||||"Southampton"|"Trimmer"||
"DOYLE, Mr Laurence"|27|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"DUFFY, Mr William Luke"|28|"Engine"|||||"Belfast"|"Writer / Engineer's Clerk"||
"DYER, Mr Henry Ryland"|24|"Engine"|||||"Belfast"|"Senior Assistant 4th. Engineer"||
"DYMOND, Mr Frank"|25|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"EAGLE, Mr A. J."|22|"Engine"|||||"Southampton"|"Trimmer"||
"EASTMAN, Mr Charles"|44|"Engine"|||||"Southampton"|"Greaser"||
"ELLIOTT, Mr Everett Edward"|24|"Engine"|||||"Southampton"|"Trimmer"||"317"
"ERVINE, Mr Albert George"|18|"Engine"|||||"Belfast"|"Electrician"||
"EVANS, Mr William"|30|"Engine"|||||"Southampton"|"Trimmer"||"31"
"FARQUHARSON, Mr William Edward"|39|"Engine"|||||"Belfast"|"Senior 2nd. Engineer"||
"FAY, Mr Thomas Joseph"|30|"Engine"|||||"Southampton"|"Greaser"||
"FERRARY, Mr Antonio"|34|"Engine"|||||"Southampton"|"Trimmer"||
"FERRIS, Mr W."|38|"Engine"|||||"Southampton"|"Leading Fireman"||
"FITZPATRICK, Mr Hugh J."|27|"Engine"|||||"Belfast"|"Junior Boilermaker"||
"FITZPATRICK, Mr Cecil William"|21|"Engine"|||||"Southampton"|"Mess Steward"||
"FLARTY, Mr Edward"|43|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"FORD, Mr H."|22|"Engine"|||||"Southampton"|"Trimmer"||
"FORD, Mr Thomas"|30|"Engine"|||||"Southampton"|"Leading Fireman"||
"FOSTER, Mr Albert C."|37|"Engine"|||||"Belfast"|"Storekeeper"||
"FRASER, Mr James"|29|"Engine"|||||"Belfast"|"Junior Assistant 3rd. Engineer"||
"FRASER, Mr J."|30|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"FREDERICKS, Mr Walter Francis"|20|"Engine"|||||"Southampton"|"Trimmer"||
"FRYER, Mr Albert Ernest"|26|"Engine"|||||"Southampton"|"Trimmer"||
"GEER, Mr Alfred Emest"|24|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"GODLEY, Mr George"|34|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"GODWIN, Mr Frederick Walter"|34|"Engine"|||||"Southampton"|"Greaser"||
"GOLDER, Mr M. W."|32|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"GORDON, Mr J."|29|"Engine"|||||"Southampton"|"Trimmer"||
"GOREE, Mr Frank"|42|"Engine"|||||"Southampton"|"Greaser"||"222"
"GOSLING, Mr Bertram James"|22|"Engine"|||||"Southampton"|"Trimmer"||
"GOSLING, Mr S."|26|"Engine"|||||"Southampton"|"Trimmer"||
"GRADIDGE, Mr Ernest Edward"|22|"Engine"|||||"Southampton"|"Fireman / Stoker"||"276"
"GRAHAM, Mr Thomas G."|28|"Engine"|||||"Belfast"|"Fireman / Stoker"||
"GREEN, Mr George"|20|"Engine"|||||"Southampton"|"Trimmer"||
"GREGORY, Mr David"|40|"Engine"|||||"Southampton"|"Greaser"||
"GUMERY, Mr George"|24|"Engine"|||||"Southampton"|"Mess Steward"||
"HAGGAN, Mr John"|35|"Engine"|||||"Belfast"|"Fireman / Stoker"|"3"|
"HALL, Mr J."|32|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"HALLETT, Mr George"|22|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"HANDS, Mr Bernard"|53|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"HANNAM, Mr George"|30|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"HARRIS, Mr Amos Fred"|21|"Engine"|||||"Southampton"|"Trimmer"||
"HARRIS, Mr Edward"|28|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"HARRIS, Mr Frederick"|39|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"HARRISON, Mr Norman E."|38|"Engine"|||||"Belfast"|"Junior 2nd. Engineer"||
"HART, Mr James"|49|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"HARVEY, Mr Herbert Gifford"|34|"Engine"|||||"Belfast"|"Junior Assistant 2nd. Engineer"||
"HASLIN, Mr James"|45|"Engine"|||||"Southampton"|"Trimmer"||
"HEAD, Mr A."|24|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"HEBB, Mr A."|20|"Engine"|||||"Southampton"|"Trimmer"||
"HENDRICKSON, Mr Charles George"|29|"Engine"|||||"Southampton"|"Leading Fireman"|"1"|
"HESKETH, Mr John Henry"|33|"Engine"|||||"Belfast"|"Engineer"||
"HILL, Mr James"|25|"Engine"|||||"Southampton"|"Trimmer"||
"HINTON, Mr Stephen William"|30|"Engine"|||||"Southampton"|"Trimmer"||"85"
"HODGE, Mr Charles"|29|"Engine"|||||"Belfast"|"Senior Assistant 3rd. Engineer"||
"HODGES, Mr W."|26|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"HODGKINSON, Mr Leonard"|46|"Engine"|||||"Belfast"|"Senior 4th. Engineer"||
"HOPGOOD, Mr Roland"|22|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"HOSGOOD, Mr Richard"|22|"Engine"|||||"Southampton"|"Fireman / Stoker"||"242"
"HOSKING, Mr George Fox"|36|"Engine"|||||"Belfast"|"Senior 3rd. Engineer"||
"HUNT, Mr Albert"|22|"Engine"|||||"Southampton"|"Trimmer"||
"HUNT, Mr Tom"|28|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"HURST, Mr Charles John"|35|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"HURST, Mr Walter"|23|"Engine"|||||"Southampton"|"Fireman / Stoker"|"B"|
"INGRAM, Mr Charles"|20|"Engine"|||||"Southampton"|"Trimmer"||"204"
"INSTANCE, Mr T."|33|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"JACOBSON, Mr John"|29|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"JAGO, Mr Joseph"|27|"Engine"|||||"Southampton"|"Greaser"||
"JAMES, Mr Thomas"|27|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"JARVIS, Mr Walter"|37|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"JOAS, Mr N."|38|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"JUDD, Mr Charles E."|32|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"JUKES, Mr James"|35|"Engine"|||||"Southampton"|"Greaser"||
"JUPE, Mr Boykett Herbert"|30|"Engine"|||||"Southampton"|"Electrician"||"73"
"KASPER, Mr F."|40|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"KEARL, Mr Charles Henry"|43|"Engine"|||||"Southampton"|"Greaser"||
"KEARL, Mr G."|24|"Engine"|||||"Southampton"|"Trimmer"||
"KEEGAN, Mr James"|38|"Engine"|||||"Southampton"|"Leading Fireman"||
"KELLY, Mr James"|44|"Engine"|||||"Southampton"|"Greaser"||
"KELLY, Mr William"|23|"Engine"|||||"Belfast"|"Assistant Electrician"||
"KEMISH, Mr George"|24|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"KEMP, Mr Thomas Hulman"|43|"Engine"|||||"Belfast"|"Extra Assistant 4th Engineer (Refrigeration)"||
"KENCHENTEN, Mr Frederick"|37|"Engine"|||||"Southampton"|"Greaser"||
"KENZLER, Mr Augustus"|43|"Engine"|||||"Belfast"|"Storekeeper"||
"KERR, Mr Thomas"|26|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"KINSELLA, Mr L."|30|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"KIRKHAM, Mr J."|39|"Engine"|||||"Southampton"|"Greaser"||
"KNOWLES, Mr Thomas"|42|"Engine"|||||"Southampton"|"Fireman Messman"||
"LAHY, Mr T. E."|32|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"LEE, Mr H."|18|"Engine"|||||"Southampton"|"Trimmer"||
"LIGHT, Mr Christopher William"|20|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"LIGHT, Mr W."|47|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"LINDSAY, Mr William Charles"|30|"Engine"|||||"Southampton"|"Fireman / Stoker"|"3"|
"LLOYD, Mr W."|29|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"LONG, Mr F."|28|"Engine"|||||"Southampton"|"Trimmer"||
"LONG, Mr W."|30|"Engine"|||||"Southampton"|"Trimmer"||
"MACKIE, Mr William Dickson"|32|"Engine"|||||"Belfast"|"Junior 5th. Engineer"||
"MAJOR, Mr William James"|32|"Engine"|||||"Southampton"|"Fireman / Stoker"|"13"|
"MARRETT, Mr G."|22|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"MARSH, Mr Frederick Charles"|39|"Engine"|||||"Southampton"|"Fireman / Stoker"||"268"
"MASKELL, Mr Leopold Adolphus"|25|"Engine"|||||"Southampton"|"Trimmer"||
"MASON, Mr Frank Archibald Robert"|32|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"MASON, Mr J."|39|"Engine"|||||"Southampton"|"Leading Fireman"||
"MAY, Mr Arthur"|24|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"MAY, Mr Arthur William"|60|"Engine"|||||"Southampton"|"Fireman Messman"||
"MAYO, Mr William Peter"|27|"Engine"|||||"Southampton"|"Leading Fireman"||"177"
"MAYZES, Mr Thomas"|25|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"MCANDREW, Mr Thomas"|36|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"MCANDREWS, Mr William"|23|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"MCCASTLAN, Mr W."|38|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"MCGANN, Mr James"|26|"Engine"|||||"Southampton"|"Trimmer"||
"MCGARVEY, Mr Edward Joseph"|34|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"MCGAW, Mr Eroll V."|30|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"MCGREGOR, Mr J."|30|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"MCINERNEY, Mr Thomas"|37|"Engine"|||||"Southampton"|"Greaser"||
"MCINTYRE, Mr William"|21|"Engine"|||||"Southampton"|"Trimmer"||
"MCQUILLAN, Mr William"|26|"Engine"|||||"Belfast"|"Fireman / Stoker"||"183"
"MCRAE, Mr William Alexander"|32|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"MCREYNOLDS, Mr William"|22|"Engine"|||||"Belfast"|"Junior 6th. Engineer"||
"MIDDLETON, Mr Alfred Pirrie"|26|"Engine"|||||"Belfast"|"Electrician"||
"MILFORD, Mr George"|28|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"MILLAR, Mr Robert"|26|"Engine"|||||"Belfast"|"Extra 5th Engineer"||
"MILLAR, Mr Thomas"|33|"Engine"|||||"Belfast"|"Deck Enginer"||
"MINTRAM, Mr William"|46|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"MITCHELL, Mr Lawrence"|18|"Engine"|||||"Southampton"|"Trimmer"||
"MOORE, Mr John J."|29|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"MOORE, Mr Ralph William"|21|"Engine"|||||"Southampton"|"Trimmer"||
"MOORES, Mr Richard Henry"|44|"Engine"|||||"Southampton"|"Greaser"||
"MORELL, Mr R."|21|"Engine"|||||"Southampton"|"Trimmer"||
"MORGAN, Mr Arthur Herbert"|27|"Engine"|||||"Southampton"|"Trimmer"||
"MORGAN, Mr Thomas A."|26|"Engine"|||||"Southampton"|"Fireman / Stoker"||"302"
"MORRIS, Mr Arthur"|30|"Engine"|||||"Southampton"|"Greaser"||
"MORRIS, Mr W."|24|"Engine"|||||"Southampton"|"Trimmer"||
"MOYES, Mr William Young"|23|"Engine"|||||"Belfast"|"Senior 6th. Engineer"||
"MURDOCH, Mr William John"|33|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"NETTLETON, Mr George"|28|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"NEWMAN, Mr Charles Thomas"|33|"Engine"|||||"Southampton"|"Assistant Storekeeper"||
"NOON, Mr John"|35|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"NORRIS, Mr J."|23|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"NOSS, Mr Bertram Arthur"|21|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"NOSS, Mr Henry"|30|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"NUTBEAN, Mr William"|30|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"O'CONNOR, Mr John"|25|"Engine"|||||"Southampton"|"Trimmer"||
"OLIVE, Mr Charles"|31|"Engine"|||||"Southampton"|"Greaser"||
"OLIVER, Mr Harry"|32|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"OTHEN, Mr Charles"|35|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"PAICE, Mr Richard Charles John"|32|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"PAINTER, Mr Charles"|31|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"PAINTER, Mr Frank Frederick"|29|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"PALLES, Mr Thomas"|42|"Engine"|||||"Belfast"|"Greaser"||
"PARSONS, Mr Frank Alfred"|26|"Engine"|||||"Belfast"|"Senior 5th. Engineer"||
"PEARCE, Mr John"|28|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"PELHAM, Mr George"|39|"Engine"|||||"Southampton"|"Trimmer"|"16"|
"PERRY, Mr Edgar Lionel"|19|"Engine"|||||"Southampton"|"Trimmer"||
"PERRY, Mr H."|23|"Engine"|||||"Southampton"|"Trimmer"||
"PHILLIPS, Mr A. G."|27|"Engine"|||||"Southampton"|"Greaser"||
"PITFIELD, Mr William James"|25|"Engine"|||||"Southampton"|"Greaser"||
"PODESTA, Mr Alfred John Alexander"|24|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"POND, Mr George"|32|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"PRANGNELL, Mr George Alexander"|30|"Engine"|||||"Southampton"|"Greaser"||
"PRESTON, Mr Thomas Charles Alfred"|20|"Engine"|||||"Southampton"|"Trimmer"||
"PRIEST, Mr Arthur John"|24|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"PROUDFOOT, Mr Richard"|23|"Engine"|||||"Southampton"|"Trimmer"||
"PUGH, Mr Percy"|31|"Engine"|||||"Southampton"|"Leading Fireman"||
"PUSEY, Mr Robert William"|24|"Engine"|||||"Southampton"|"Fireman / Stoker"|"1"|
"RANGER, Mr Thomas"|29|"Engine"|||||"Southampton"|"Greaser"|"4"|
"READ, Mr J."|21|"Engine"|||||"Southampton"|"Trimmer"||
"READ, Mr Robert"|30|"Engine"|||||"Southampton"|"Trimmer"||
"REEVES, Mr F."|31|"Engine"|||||"Southampton"|"Fireman / Stoker"||"180"
"RICE, Mr Charles"|32|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"RICHARDS, Mr Joseph James"|28|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"RICKMAN, Mr George Albert"|36|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"ROBERTS, Mr Robert George"|35|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"ROUS, Mr Arthur J."|26|"Engine"|||||"Belfast"|"Plumber"||
"RUDD, Mr Henry"|23|"Engine"|||||"Southampton"|"Assistant Storekeeper"||"86"
"RUTTER (GRAVES), Mr Sidney Frank"|30|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"SANGSTER, Mr Charles"|32|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"SAUNDERS, Mr F."|23|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"SAUNDERS, Mr Walter Edward"|23|"Engine"|||||"Southampton"|"Trimmer"||"0"
"SAUNDERS, Mr W."|23|"Engine"|||||"Southampton"|"Fireman / Stoker"||"184"
"SCOTT, Mr Frederick William"|28|"Engine"|||||"Southampton"|"Greaser"||
"SCOTT, Mr Archibald"|40|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"SELF, Mr Alfred Henry"|39|"Engine"|||||"Southampton"|"Greaser"||
"SELF, Mr Edward"|25|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"SENIOR, Mr Harry"|31|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"SHEA, Mr Thomas"|32|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"SHEATH, Mr Frederick"|20|"Engine"|||||"Southampton"|"Trimmer"|"1"|
"SHEPHERD, Mr Jonathan"|32|"Engine"|||||"Southampton"|"Junior Assistant 2nd. Engineer"||
"SHIERS, Mr Alfred Charles"|25|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"SHILLABEER, Mr Charles Frederick"|20|"Engine"|||||"Southampton"|"Trimmer"||"195"
"SKEATES, Mr William"|26|"Engine"|||||"Southampton"|"Trimmer"||
"SLOAN, Mr Peter"|31|"Engine"|||||"Belfast"|"Chief Electrician"||
"SMALL, Mr William"|40|"Engine"|||||"Southampton"|"Leading Fireman"||
"SMITH, Mr Emest George"|26|"Engine"|||||"Southampton"|"Trimmer"||
"SMITH, Mr James M."|35|"Engine"|||||"Belfast"|"Junior 4th. Engineer"||
"SMITHER, Mr Harry John"|22|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"SNELLGROVE, Mr George"|40|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"SNOOKS, Mr W."|26|"Engine"|||||"Southampton"|"Trimmer"||
"SNOW, Mr Eustace Philip"|21|"Engine"|||||"Southampton"|"Trimmer"||
"SPARKMAN, Mr H."|30|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"STANBROOK, Mr Alfred Augustus"|30|"Engine"|||||"Southampton"|"Fireman / Stoker"||"316"
"STEEL, Mr Robert Edward"||"Engine"|||||"Southampton"|"Trimmer"||
"STOCKER, Mr H."|20|"Engine"|||||"Southampton"|"Trimmer"||
"STREET, Mr Thomas Albert"|25|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"STUBBS, Mr James Henry"|28|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"SULLIVAN, Mr S."|25|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"TAYLOR, Mr J."|42|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"TAYLOR, Mr James"|24|"Engine"|||||"Southampton"|"Fireman / Stoker"|"1"|
"TAYLOR, Mr John"|50|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"TAYLOR, Mr William Henry"|26|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"THOMAS, Mr Joseph"|25|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"THOMPSON, Mr John William"|35|"Engine"|||||"Southampton"|"Fireman / Stoker"|"A"|
"THRELFALL, Mr Thomas"|44|"Engine"|||||"Southampton"|"Leading Fireman"||
"THRESHER, Mr George Terrill"|25|"Engine"|||||"Southampton"|"Fireman / Stoker"|"9"|
"TIZARD, Mr Arthur"|31|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"TOZER, Mr James"|30|"Engine"|||||"Southampton"|"Greaser"||
"TRIGGS, Mr Robert"|40|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"TURLEY, Mr Richard"|35|"Engine"|||||"Belfast"|"Fireman / Stoker"||
"VAN DER BRUGGE, Mr Wessel Adrianus"|42|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"VEAL, Mr Arthur"|36|"Engine"|||||"Southampton"|"Greaser"||
"VEAR, Mr H."|32|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"VEAR, Mr William"|33|"Engine"|||||"Southampton"|"Fireman / Stoker"||"59"
"WARD, Mr Arthur"|24|"Engine"|||||"Belfast"|"Junior Assistant 4th. Engineer"||
"WARD, Mr J."|31|"Engine"|||||"Southampton"|"Leading Fireman"||
"WARDNER, Mr Albert"|39|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"WATERIDGE, Mr Edward Lewis"|25|"Engine"|||||"Southampton"|"Fireman / Stoker"||
"WATSON, Mr W."|27|"Engine"|||||"Southampton"|"Fireman / Stoker"||"158"
"WATTS, Mr "|36|"Engine"|||||"Southampton"|"Trimmer"||
