"Name"|"Age"|"Class/Dept"|"Ticket"|"Fare"|"Group"|"Ship"|"Joined"|"Job"|"Boat"|"Body"||" "
"BURRAGE, Mr Arthur Victor Edwards"|20|"Victualling"|||||"Southampton"|"Plate Steward"|"13"|||
"BUTT, Mr Robert Henry"|21|"Victualling"|||||"Southampton"|"Saloon Steward"||"10"||
"BUTTERWORTH, Mr John"|23|"Victualling"|||||"Southampton"|"Saloon Steward"||"116"||
"BYRNE, Mr J. E."|38|"Victualling"|||||"Southampton"|"Bed Room Steward"||||
"CAMPBELL, Mr Donald S."|25|"Victualling"|||||"Southampton"|"3rd Class Clerk"||||
"CARNEY, Mr William"|31|"Victualling"|||||"Southampton"|"Lift Steward"||"251"||
"CARTWRIGHT, Mr James Edward"|32|"Victualling"|||||"Belfast"|"Saloon Steward"||"320"||
"CASSWILL, Mr Charles"|34|"Victualling"|||||"Southampton"|"Saloon Steward"||||
"CATON, Miss Annie"|33|"Victualling"|||||"Southampton"|"Turkish Bath Stewardess"|"11"|||
"CAUNT, Mr William Ewart"|27|"Victualling"|||||"Southampton"|"Grill Cook"||||
"CAVE, Mr Herbert"|34|"Victualling"|||||"Belfast"|"Saloon Steward"||"218"||
"CECIL, Mr Charles Thomas"|21|"Victualling"|||||"Southampton"|"Steward"||||
"CHAPMAN, Mr Joseph Charles"|32|"Victualling"|||||"Southampton"|"Boots"||||
"CHARMAN, Mr John"|25|"Victualling"|||||"Southampton"|"Saloon Steward"||||
"CHEVERTON, Mr William Frederick"|27|"Victualling"|||||"Belfast"|"Saloon Steward"||"334"||
"CHITTY, Mr Archibald George"|28|"Victualling"|||||"Southampton"|"Steward"||||
"CHITTY, Mr George Henry"|52|"Victualling"|||||"Southampton"|"Baker"||||
"CHRISTMAS, Mr H."|33|"Victualling"|||||"Southampton"|"Assistant Saloon Steward"||||
"COLEMAN, Mr Albert Edward"|28|"Victualling"|||||"Southampton"|"Saloon Steward"||||
"COLGAN, Mr E. Joseph"|33|"Victualling"|||||"Southampton"|"Scullion"||||
"COLLINS, Mr John"|17|"Victualling"|||||"Southampton"|"Scullion"||||
"CONWAY, Mr P. W."|25|"Victualling"|||||"Belfast"|"Saloon Steward"||||
"COOK, Mr George"|32|"Victualling"|||||"Southampton"|"Saloon Steward"||||
"COOMBS, Mr Augustus Charles"|42|"Victualling"|||||"Southampton"|"Cook"||||
"CORBEN, Mr Ernest Theodore"|27|"Victualling"|||||"Southampton"|"Assistant Printer Steward"||||
"COX, Mr William Denton"|29|"Victualling"|||||"Southampton"|"Steward"||"300"||
"CRAFTER, Mr Frederick"|27|"Victualling"|||||"Southampton"|"Saloon Steward"||||
"CRAWFORD, Mr Alfred George"|43|"Victualling"|||||"Belfast"|"Bed Room Steward"|"8"|||
"CRISP, Mr Albert Hector"|39|"Victualling"|||||"Belfast"|"Saloon Steward"||||
"CRISPIN, Mr William"|32|"Victualling"|||||"Southampton"|"Glory Hole Steward"||||
"CROSBY, Mr J. Bertram"|42|"Victualling"|||||"Southampton"|"Turkish Bath Attendant"||||
"CROWE, Mr George Frederick"|30|"Victualling"|||||"Southampton"|"Saloon Steward"||||
"CRUMPLIN, Mr Charles"|35|"Victualling"|||||"Belfast"|"Bed Room Steward"||||
"CULLEN, Mr Charles"|45|"Victualling"|||||"Belfast"|"Bed Room Steward"||||
"CUNNINGHAM, Mr Andrew"|35|"Victualling"|||||"Belfast"|"Bed Room Steward"|"4"|||
"DANIELS, Mr Sidney Edward"|18|"Victualling"|||||"Southampton"|"Steward"||||
"DASHWOOD, Mr William George"|19|"Victualling"|||||"Southampton"|"Saloon Steward"||"83"||
"DAVIES, Mr Gordon Raleigh"|33|"Victualling"|||||"Belfast"|"Bed Room Steward"||||
"DAVIES, Mr John James"|27|"Victualling"|||||"Belfast"|"Extra 2nd Baker"||"200"||
"DAVIES, Mr Robert J."|26|"Victualling"|||||"Belfast"|"Saloon Steward"||"191"||
"DEAN, Mr George H."|19|"Victualling"|||||"Southampton"|"Assistant Saloon Steward"||"252"||
"DEEBLE, Mr Alfred Arnold"|29|"Victualling"|||||"Belfast"|"Saloon Steward"||"270"||
"DERRETT, Mr Albert"|26|"Victualling"|||||"Belfast"|"Saloon Steward"||||
"DESLANDS, Mr Percival Stainer"|36|"Victualling"|||||"Southampton"|"Saloon Steward"||"212"||
"DINENAGE, Mr James Richard"|49|"Victualling"|||||"Southampton"|"Saloon Steward"||||
"DODD, Mr George Charles"|44|"Victualling"|||||"Belfast"|"Steward"||||
"DOLBY, Mr Joseph"|36|"Victualling"|||||"Belfast"|"Reception Room Steward"||||
"DONOGHUE, Mr Frank (?Thomas)"|35|"Victualling"|||||"Belfast"|"Bed Room Steward"||||
"DOUGHTY, Mr W."|22|"Victualling"|||||"Southampton"|"Saloon Steward"||||
"DUNFORD, Mr William"|41|"Victualling"|||||"Southampton"|"Hospital Steward"||"71"||
"DYER, Mr William"|31|"Victualling"|||||"Southampton"|"Saloon Steward"||||
"EDBROOKE, Mr F."|24|"Victualling"|||||"Southampton"|"Steward"||||
"EDE, Mr George B."|22|"Victualling"|||||"Southampton"|"Steward"||||
"EDGE, Mr Frederick William"|39|"Victualling"|||||"Southampton"|"Deck Steward"||||
"EDWARDS, Mr Clement"|39|"Victualling"|||||"Southampton"|"Assistant Pantryman Steward"||||
"EGG, Mr W. H."|34|"Victualling"|||||"Southampton"|"Steward"||||
"ELLIS, Mr John Bertram"|30|"Victualling"|||||"Southampton"|"Assistant Vegetable Cook"|"2"|||
"ENNIS, Mr Walter"|35|"Victualling"|||||"Southampton"|"Turkish Bath Attendant"||||
"ETCHES, Mr Henry Samuel"|41|"Victualling"|||||"Belfast"|"Bed Room Steward"|"5"|||
"EVANS, Mr George Richard"|27|"Victualling"|||||"Belfast"|"Saloon Steward"||||
"FAIRALL, Mr Henry"|38|"Victualling"|||||"Belfast"|"Saloon Steward"||||
"FARRENDEN, Mr Ernest John"|22|"Victualling"|||||"Belfast"|"Confectioner"||||
"FAULKNER, Mr William Stephen"|37|"Victualling"|||||"Belfast"|"Bed Room Steward"|"11"|||
"FELLOWES, Mr Alfred J."|29|"Victualling"|||||"Belfast"|"Boots"||"138"||
"FELTHAM, Mr G."|36|"Victualling"|||||"Southampton"|"Vienna Baker"||||
"FINCH, Mr Harry"|18|"Victualling"|||||"Southampton"|"Steward"||||
"FLETCHER, Mr Peter W."|26|"Victualling"|||||"Belfast"|"Bugler Steward"||||
"FOLEY, Mr William C."|26|"Victualling"|||||"Southampton"|"Steward"||||
"FORD, Mr Ernest"|32|"Victualling"|||||"Southampton"|"Steward"||||
"FORD, Mr F."|37|"Victualling"|||||"Southampton"|"Bed Room Steward"||||
"FOX, Mr William Thomas"|27|"Victualling"|||||"Southampton"|"Steward"||||
"FRANKLIN, Mr Alan Vincent"|29|"Victualling"|||||"Southampton"|"Saloon Steward"||"262"||
"FREEMAN, Mr Ernest Edward Samuel"|43|"Victualling"|||||"Belfast"|"Deck Steward"||"239"||
"GEDDES, Mr Richard Charles"|31|"Victualling"|||||"Southampton"|"Bed Room Steward"||||
"GIBBONS, Mr Jacob William"|36|"Victualling"|||||"Southampton"|"Saloon Steward"||||
"GILES, Mr John Robert"|33|"Victualling"|||||"Southampton"|"Baker"||||
"GILL, Mr Joseph Stanley"|34|"Victualling"|||||"Belfast"|"Bed Room Steward"||"49"||
"GILL, Mr Patrick"|38|"Victualling"|||||"Southampton"|"Ship's Cook"||||
"GOLD, Mrs Katherine"|42|"Victualling"|||||"Southampton"|"Stewardess"||||
"GOLLOP, Mr F."|28|"Victualling"|||||"Southampton"|"Assistant Passage Cook"||||
"GOSHAWK, Mr Arthur James"|31|"Victualling"|||||"Belfast"|"3rd Saloon Steward"||||
"GREGSON, Miss Mary"|44|"Victualling"|||||"Southampton"|"Stewardess"||||
"GUNN, Mr Joseph Alfred"|28|"Victualling"|||||"Southampton"|"Assistant Saloon Steward"||||
"GUY, Mr Elgar John"|28|"Victualling"|||||"Southampton"|"Boots"|"5"|||
"GWYNN, Mr William Logan"|37|"Victualling"|||"Postal Clerk"||"Southampton"|"Postal Clerk"||||
"HALFORD, Mr Richard"|22|"Victualling"|||||"Southampton"|"Steward"||||
"HALL, Mr F. A. J."|38|"Victualling"|||||"Southampton"|"Scullion"||||
"HAMBLYN, Mr Ernest William"|41|"Victualling"|||||"Southampton"|"Bed Room Steward"||||
"HAMILTON, Mr Ernest"|25|"Victualling"|||||"Belfast"|"Assistant Smoke Room Steward"||||
"HARDING, Mr A."|20|"Victualling"|||||"Southampton"|"Assistant Pantry Steward"||||
"HARDWICK, Mr Reginald"|21|"Victualling"|||||"Southampton"|"Kitchen Porter"|"11"|||
"HARDY, Mr John T."|37|"Victualling"|||||"Belfast"|"Chief 2nd Class Steward"|"D"|||
"HARRIS, Mr Charles William"|19|"Victualling"|||||"Southampton"|"Saloon Steward"||||
"HARRIS, Mr Clifford Henry"|16|"Victualling"|||||"Southampton"|"Bell Boy"||||
"HARRIS, Mr Edward"|18|"Victualling"|||||"Southampton"|"Assistant Pantryman Steward"||||
"HARRISON, Mr Aragon Drummond"|40|"Victualling"|||||"Southampton"|"Saloon Steward"||||
"HART, Mr John Edward"|31|"Victualling"|||||"Southampton"|"Steward"||||
"HARTNELL, Mr Frederick"|21|"Victualling"|||||"Southampton"|"Saloon Steward"||||
"HATCH, Mr Hugh"|23|"Victualling"|||||"Southampton"|"Scullion"||||
"HAWKESWORTH, Mr James"|38|"Victualling"|||||"Southampton"|"Saloon Steward"||||
"HAWKESWORTH, Mr William Walter"|43|"Victualling"|||||"Southampton"|"Deck Steward"||||
"HAYTER, Mr Arthur"|44|"Victualling"|||||"Belfast"|"Bed Room Steward"||"25"||
"HEINEN, Mr Joseph"|30|"Victualling"|||||"Southampton"|"Saloon Steward"||||
"HENDY, Mr Edward Martin"|39|"Victualling"|||||"Belfast"|"Saloon Steward"||||
"HENSFORD, Mr Herbert George"|27|"Victualling"|||||"Southampton"|"Butcher"||||
"HEWETT, Mr Thomas"|37|"Victualling"|||||"Belfast"|"Bed Room Steward"||"168"||
"HILL, Mr H. P."|36|"Victualling"|||||"Southampton"|"Steward"||||
"HILL, Mr James Colston"|38|"Victualling"|||||"Belfast"|"Bed Room Steward"||"152"||
"HINCKLEY, Mr George"|35|"Victualling"|||||"Southampton"|"Bath Steward"||"66"||
"HINE, Mr William Edward"|36|"Victualling"|||||"Southampton"|"Baker"||||
"HISCOCK, Mr S."|22|"Victualling"|||||"Southampton"|"Plate Steward"||||
"HOARE, Mr Leonard James"|16|"Victualling"|||||"Belfast"|"Saloon Steward"||||
"HOGG, Mr Charles William"|37|"Victualling"|||||"Southampton"|"Bed Room Steward"||||
"HOGUE, Mr E."|22|"Victualling"|||||"Southampton"|"Plate Steward"||||
"HOLLAND, Mr Thomas"|28|"Victualling"|||||"Belfast"|"Reception Steward"||||
"HOLLOWAY, Mr Sidney"|20|"Victualling"|||||"Southampton"|"Clothes Presser"||"273"||
"HOPKINS, Mr F."|16|"Victualling"|||||"Southampton"|"Plate Steward"||||
"HOUSE, Mr William"|38|"Victualling"|||||"Belfast"|"Saloon Steward"||||
"HOWELL, Mr Arthur Albert"|31|"Victualling"|||||"Belfast"|"Saloon Steward"||"319"||
"HUGHES, Mr William Thomas"|36|"Victualling"|||||"Southampton"|"Steward"||||
"HUMBY, Mr Frederick"|16|"Victualling"|||||"Southampton"|"Plate Steward"||||
"HUMPHREYS, Mr Thomas Humphrey"|31|"Victualling"|||||"Southampton"|"Assistant Saloon Steward"||||
"HUTCHINSON, Mr James"|28|"Victualling"|||||"Southampton"|"Vegetable. Cook"||"250"||
"HYLAND, Mr Leo James"|19|"Victualling"|||||"Southampton"|"Steward"|"11"|||
"IDE, Mr Harry John"|32|"Victualling"|||||"Southampton"|"Bed Room Steward"||||
"INGROUILLE, Mr Henry"|21|"Victualling"|||||"Southampton"|"Steward"||||
"INGS, Mr William Ernest"|20|"Victualling"|||||"Southampton"|"Scullion"||||
"JACKSON, Mr Cecil"|22|"Victualling"|||||"Belfast"|"Boots"||||
"JANAWAY, Mr William Frank"|35|"Victualling"|||||"Belfast"|"Bed Room Steward"||||
"JENNER, Mr Harry"|41|"Victualling"|||||"Belfast"|"Saloon Steward"||||
"JENSEN, Mr Charles Valdemar"|25|"Victualling"|||||"Southampton"|"Saloon Steward"||||
"JESSOP, Miss Violet Constance"|24|"Victualling"|||||"Southampton"|"Stewardess"||||
"JOHNSTON, Mr James"|41|"Victualling"|||||"Belfast"|"Saloon Steward"|"2"|||
"JONES, Mr Albert"|17|"Victualling"|||||"Southampton"|"Saloon Steward"||||
"JONES, Mr Arthur Ernest"|38|"Victualling"|||||"Southampton"|"Plate Steward"||||
"JONES, Mr H."|29|"Victualling"|||||"Southampton"|"Roast Cook"||||
"JONES, Mr Reginald V."|20|"Victualling"|||||"Southampton"|"Saloon Steward"||||
"JOUGHIN, Mr Charles John"|32|"Victualling"|||||"Belfast"|"Chief Baker"|"B"|||
"KEEN, Mr Percy Edward"|28|"Victualling"|||||"Southampton"|"Saloon Steward"||||
"KELLAND, Mr Thomas"|21|"Victualling"|||||"Southampton"|"Library Steward"||||
"KENNELL, Mr Charles"|30|"Victualling"|||||"Southampton"|"Hebrew Cook"||||
"KERLEY, Mr William Thomas"|28|"Victualling"|||||"Southampton"|"Assistant Saloon Steward"||"-1"||
"KETCHLEY, Mr Henry"|30|"Victualling"|||||"Belfast"|"Saloon Steward"||||
"KIERAN, Mr James W."|32|"Victualling"|||||"Southampton"|"Chief 3rd Class Steward"||||
"KIERAN, Mr Michael"|31|"Victualling"|||||"Southampton"|"Storekeeper"||||
"KING, Mr Alfred"|18|"Victualling"|||||"Southampton"|"Lift Steward"||"238"||
"KING, Mr Ernest Waldron"|28|"Victualling"|||||"Southampton"|"Clerk"||"321"||
"KING, Mr G."|20|"Victualling"|||||"Southampton"|"Scullion"||||
"KINGSCOTE, Mr William Ford"|42|"Victualling"|||||"Southampton"|"Saloon Steward"||||
"KIRKALDY, Mr Thomas Benjamin"|39|"Victualling"|||||"Southampton"|"Bed Room Steward"||||
"KITCHING, Mr Arthur Alfred"|30|"Victualling"|||||"Southampton"|"Saloon Steward"||||
"KLEIN, Mr Herbert"|33|"Victualling"|||||"Southampton"|"Barber"||||
"KNIGHT, Mr George"|44|"Victualling"|||||"Southampton"|"Saloon Steward"||||
"KNIGHT, Mr Leonard George"|21|"Victualling"|||||"Southampton"|"Steward"||||
"LACEY, Mr Bert W."|21|"Victualling"|||||"Southampton"|"Assistant Saloon Steward"||||
"LAKE, Mr William"|35|"Victualling"|||||"Belfast"|"Saloon Steward"||||
"LANE, Mr Albert Edward"|34|"Victualling"|||||"Southampton"|"Saloon Steward"||||
"LATIMER, Mr Andrew L"|55|"Victualling"|||||"Belfast"|"Chief Steward"||||
"LAVINGTON, Miss Bessie"|38|"Victualling"|||||"Southampton"|"Stewardess"||||
"LAWRENCE, Mr Arthur"|35|"Victualling"|||||"Belfast"|"Saloon Steward"||"90"||
"LEADER, Mr Archibald"|22|"Victualling"|||||"Southampton"|"Confectioner"||||
"LEATHER, Mrs Elizabeth May"|41|"Victualling"|||||"Southampton"|"Stewardess"||||
"LEFEBVRE, Mr Paul Georges"|35|"Victualling"|||||"Southampton"|"Saloon Steward"||"211"||
"LEONARD, Mr Matthew"|26|"Victualling"|||||"Belfast"|"Steward"||||
"LEVETT, Mr George Alfred"|21|"Victualling"|||||"Belfast"|"Assistant Pantryman Steward"||||
"LEWIS, Mr Arthur Ernest Read"|27|"Victualling"|||||"Southampton"|"Steward"||||
"LIGHT, Mr C."|23|"Victualling"|||||"Southampton"|"Plate Steward"||||
"LITTLEJOHN, Mr Alexander James"|40|"Victualling"|||||"Belfast"|"Saloon Steward"||||
"LLOYD, Mr Humphrey"|32|"Victualling"|||||"Belfast"|"Saloon Steward"||"57"||
"LOCKE, Mr A."|33|"Victualling"|||||"Southampton"|"Scullion"||||
"LONGMUIR, Mr John Dickson"|19|"Victualling"|||||"Southampton"|"Assistant Pantry Steward"||||
"LOVELL, Mr John"|37|"Victualling"|||||"Southampton"|"Grill Cook"||||
"LUCAS, Mr William Watson"|31|"Victualling"|||||"Belfast"|"Saloon Steward"|"A"|||
"LYDIATT, Mr Charles"|38|"Victualling"|||||"Southampton"|"Saloon Steward"||||
"MABEY, Mr J."|23|"Victualling"|||||"Southampton"|"Steward"||||
"MACKAY, Mr Charles Donald"|34|"Victualling"|||||"Belfast"|"Saloon Steward"|"11"|||
"MACKIE, Mr George William"|34|"Victualling"|||||"Southampton"|"Bed Room Steward"||||
"MAJOR, Mr Thomas Edgar"|35|"Victualling"|||||"Belfast"|"Bath Steward"||||
"MANTLE, Mr Roland Frederick"|36|"Victualling"|||||"Southampton"|"Steward"||||
"MARCH, Mr John Starr"|50|"Victualling"|||"Postal Clerk"||"Southampton"|"Postal Clerk"||"225"||
"MARKS, Mr J."|26|"Victualling"|||||"Southampton"|"Assistant Pantryman Steward"||||
"MARRIOTT, Mr J. W."|20|"Victualling"|||||"Southampton"|"Assistant Pantryman Steward"||"2"||
"MARSDEN, Miss Evelyn"|28|"Victualling"|||||"Southampton"|"Stewardess"|"16"|||
"MARTIN, Mrs Annie"|33|"Victualling"|||||"Southampton"|"Stewardess"||||
"MARTIN, Mr F."|29|"Victualling"|||||"Southampton"|"Scullion"||||
"MAYNARD, Mr Isaac Hiram"|31|"Victualling"|||||"Belfast"|"Entre Cook"|"B"|||
"MAYTUM, Mr Alfred"|52|"Victualling"|||||"Belfast"|"Chief Butcher"||"141"||
"MCCARTHY, Mr Frederick J."|36|"Victualling"|||||"Southampton"|"Bed Room Steward"||||
"MCCAWLEY, Mr Thomas W."|36|"Victualling"|||||"Belfast"|"Gymnasium Steward"||||
"MCELROY, Mr Hugh Walter"|37|"Victualling"|||||"Southampton"|"Purser"||"157"||
"MCGRADY, Mr James"|27|"Victualling"|||||"Southampton"|"Saloon Steward"||"330"||
"MCLAREN, Mrs "|40|"Victualling"|||||"Southampton"|"Stewardess"||||
"MCMICKEN, Mr Arthur"|23|"Victualling"|||||"Belfast"|"Saloon Steward"|"11"|||
"MCMICKEN, Mr Benjamin Tucker"|21|"Victualling"|||||"Belfast"|"Second Pantry Steward"||||
"MCMULLIN, Mr James"|32|"Victualling"|||||"Belfast"|"Saloon Steward"||||
"MCMURRAY, Mr William Ernest"|43|"Victualling"|||||"Belfast"|"Bed Room Steward"||||
"MELLOR, Mr Arthur"|34|"Victualling"|||||"Southampton"|"Saloon Steward"||||
"MIDDLETON, Mr M. V."|24|"Victualling"|||||"Southampton"|"Saloon Steward"||||
"MILLS, Mr Christopher"|51|"Victualling"|||||"Southampton"|"Butcher"||||
"MISHELLAMY, Mr Abraham"|52|"Victualling"|||||"Belfast"|"Printer Steward"||||
"MOORE, Mr Alfred Ernest"|39|"Victualling"|||||"Southampton"|"Saloon Steward"||||
"MORGAN (BIRD), Mr Charles Frederick"|42|"Victualling"|||||"Southampton"|"Assistant Storekeeper"||||
"MORRIS, Mr Frank Herbert"|28|"Victualling"|||||"Belfast"|"Bath Room Steward"|"14"|||
"MOSS, Mr William"|34|"Victualling"|||||"Belfast"|"1st. Saloon Steward"||||
"MULLEN, Mr Thomas A."|20|"Victualling"|||||"Southampton"|"Steward"||"323"||
"MüLLER, Mr L."|36|"Victualling"|||||"Southampton"|"Interpreter Steward"||||
"NEAL, Mr Bentley Harold"|25|"Victualling"|||||"Southampton"|"Baker"|"13"|||
"NICHOLLS, Mr Sidney"|39|"Victualling"|||||"Southampton"|"Saloon Steward"||||
"NICHOLS, Mr A.D."|34|"Victualling"|||||"Southampton"|"Steward"||||
"NICHOLS, Mr Walter Henry"|35|"Victualling"|||||"Southampton"|"Assistant Saloon Steward"||||
"O'CONNOR, Mr Thomas Peter"|39|"Victualling"|||||"Belfast"|"Bed Room Steward"||||
"OLIVE, Mr Ernest Roskelly"|28|"Victualling"|||||"Southampton"|"Clothes Presser Steward"||||
"ORPET, Mr Walter Hayward"|31|"Victualling"|||||"Southampton"|"Saloon Steward"||||
"ORR, Mr J."|40|"Victualling"|||||"Southampton"|"Assistant Vegetable Cook"||||
"OSBORNE, Mr William Edward"|32|"Victualling"|||||"Belfast"|"Saloon Steward"||||
"OWEN, Mr Lewis"|49|"Victualling"|||||"Southampton"|"Assistant Saloon Steward"||||
"PACEY, Mr Reginald lvan"|17|"Victualling"|||||"Southampton"|"Lift Steward"||||
"PAINTIN, Mr James Arthur"|29|"Victualling"|||||"Southampton"|"Captain's Steward (Tiger)"||||
"PARSONS, Mr Edward"|35|"Victualling"|||||"Southampton"|"Chief Storekeeper"||||
"PARSONS, Mr Richard"|18|"Victualling"|||||"Southampton"|"Saloon Steward"||||
"PEARCE, Mr Alfred Emest"|24|"Victualling"|||||"Southampton"|"Steward"||||
"PEARCEY, Mr Albert Victor"|32|"Victualling"|||||"Southampton"|"Steward"||||
"PENNAL, Mr Thomas Francis"|33|"Victualling"|||||"Southampton"|"Bath Steward"||||
"PENNY, Mr William Farr"|30|"Victualling"|||||"Southampton"|"Assistant Saloon Steward"||||
"PENROSE, Mr John Poole"|49|"Victualling"|||||"Belfast"|"Bed Room Steward"||||
"PERKINS, Mr Laurence Alexander"|22|"Victualling"|||||"Southampton"|"Telephone Steward"||||
"PERRIN, Mr William Charles"|39|"Victualling"|||||"Southampton"|"Boots"||||
"PERRITON, Mr Hubert Prouse"|31|"Victualling"|||||"Southampton"|"Saloon Steward"||||
