"Name"|"Age"|"Class/Dept"|"Ticket"|"Fare"|"Group"|"Ship"|"Joined"|"Job"|"Boat"|"Body"||" "
"FARTHING, Mr John"|57|"1st Class"|17483|"£221 15s 7d"|"Servant"||"Southampton"|"Servant"||||
"FLEGENHEIM, Mrs Antoinette"|48|"1st Class"|17598|"£31 13s 8d"|||"Cherbourg"||"7"|||
"FLEMING, Miss Margaret"|42|"1st Class"|17421|"£110 17s 8d"|"Servant"||"Cherbourg"|"Personal Maid"|"4"|||
"FLYNN, Mr John Irwin"|36|"1st Class"|"PC 14474"|"£26 5s 9d"|||"Southampton"||"5"|||
"FOREMAN, Mr Benjamin Laventall"|30|"1st Class"|113051|"£27 15s "|||"Southampton"|||||
"FORTUNE, Mr Mark"|64|"1st Class"|19950|"£263 "|||"Southampton"|||||
"FORTUNE, Mrs Mary"|60|"1st Class"|19950|"£263 "|||"Southampton"||"10"|||
"FORTUNE, Miss Ethel Flora"|28|"1st Class"|19950|"£263 "|||"Southampton"||"10"|||
"FORTUNE, Miss Alice Elizabeth"|24|"1st Class"|19950|"£263 "|||"Southampton"||"10"|||
"FORTUNE, Miss Mabel Helen"|23|"1st Class"|19950|"£263 "|||"Southampton"||"10"|||
"FORTUNE, Mr Charles Alexander"|19|"1st Class"|19950|"£263 "|||"Southampton"|||||
"FRANCATELLI, Miss Laura Mabel"|31|"1st Class"|17485|"£56 18s 7d"|"Servant"||"Cherbourg"|"Secretary"|"1"|||
"FRANKLIN, Mr Thomas Parnham"|37|"1st Class"|113778|"£26 11s "|||"Southampton"|||||
"FRAUENTHAL, Mr Isaac Gerald"|43|"1st Class"|17765|"£27 14s 5d"|||"Cherbourg"||"5"|||
"FRAUENTHAL, Dr Henry William"|49|"1st Class"|17611|"£133 13s "|||"Cherbourg"|"Doctor"|"5"|||
"FRAUENTHAL, Mrs Clara"|42|"1st Class"|17611|"£133 13s "|||"Cherbourg"||"5"|||
"FRöLICHER, Miss Hedwig Margaritha"|22|"1st Class"|13568|"£49 10s "|||"Cherbourg"||"5"|||
"FRöLICHER-STEHLI, Mr Maximilian Josef"|60|"1st Class"|13567|"£79 4s "|||"Cherbourg"||"5"|||
"FRöLICHER-STEHLI, Mrs Margaretha Emerentia"|48|"1st Class"|13567|"£79 4s "|||"Cherbourg"||"5"|||
"FRY, Mr John Richard"|39|"1st Class"|112058||"Servant"||"Southampton"|"Servant"||||
"FUTRELLE, Mr Jacques Heath"|37|"1st Class"|113803|"£53 2s "|||"Southampton"|"Writer"||||
"FUTRELLE, Mrs Lily May"|35|"1st Class"|113803|"£53 2s "|||"Southampton"||"D"|||
"GEE, Mr Arthur H."|47|"1st Class"|111320|"£38 10s "|||"Southampton"|||"275"||
"GIBSON, Mrs Pauline Caroline"|44|"1st Class"|112378|"£59 8s "|||"Cherbourg"||"7"|||
"GIBSON, Miss Dorothy Winifred"|22|"1st Class"|112378|"£59 8s "|||"Cherbourg"||"7"|||
"GIEGER, Miss Amalie ""Emily"" Henriette"|35|"1st Class"|113503|"£211 10s "|"Servant"||"Southampton"|"Personal Maid"|"4"|||
"GIGLIO, Mr Victor Gaitan Andrea"|23|"1st Class"|17593|"£79 4s "|"Servant"||"Cherbourg"|"Servant"||||
"GOLDENBERG, Mr Samuel L."|47|"1st Class"|17453|"£89 2s 1d"|||"Cherbourg"||"5"|||
"GOLDENBERG, Mrs Nella"|40|"1st Class"|17453|"£89 2s 1d"|||"Cherbourg"||"5"|||
"GOLDSCHMIDT, Mr George B."|71|"1st Class"|17754|"£34 13s 1d"|||"Cherbourg"|||||
"GRACIE, Colonel Archibald"|53|"1st Class"|113780|"£28 10s "|||"Southampton"|"Writer"|"B"|||
"GRAHAM, Mr George Edward"|38|"1st Class"|112053|"£30 "|||"Southampton"|"Sales Manager"||"147"||
"GRAHAM, Mrs Edith"|59|"1st Class"|17582|"£153 9s 3d"|||"Southampton"||"3"|||
"GRAHAM, Miss Margaret Edith"|19|"1st Class"|17582|"£153 9s 3d"|||"Southampton"||"3"|||
"GREENFIELD, Mrs Blanche"|45|"1st Class"|17759|"£63 7s 2d"|||"Cherbourg"||"7"|||
"GREENFIELD, Mr William Bertram"|23|"1st Class"|17759|"£63 7s 2d"|||"Cherbourg"||"7"|||
"GUGGENHEIM, Mr Benjamin"|46|"1st Class"|17593|"£79 4s "|||"Cherbourg"|"Businessman"||||
"HARDER, Mr George Achilles"|25|"1st Class"|11765|"£55 8s 10d"|||"Cherbourg"|"Businessman"|"5"|||
"HARDER, Mrs Dorothy"|21|"1st Class"|11765|"£55 8s 10d"|||"Cherbourg"||"5"|||
"HARPER, Mr Henry Sleeper"|48|"1st Class"|17572|"£76 14s 7d"|||"Cherbourg"|"Of Independent Means"|"3"|||
"HARPER, Mrs Myna"|49|"1st Class"|17572|"£76 14s 7d"|||"Cherbourg"||"3"|||
"HARRINGTON, Mr Charles Henry"|37|"1st Class"|113796|"£42 8s "|"Servant"||"Southampton"|"Servant"||||
"HARRIS, Mr Henry Birkhardt"|45|"1st Class"|36973|"£83 9s 6d"|||"Southampton"|"Theatre Manager"||||
"HARRIS, Mrs Irene"|35|"1st Class"|36973|"£83 9s 6d"|||"Southampton"||"D"|||
"HARRISON, Mr William Henry"|45|"1st Class"|112059||"Servant"||"Southampton"|"Secretary"||"110"||
"HASSAB, Mr Hammad"|27|"1st Class"|17572|"£76 14s 7d"|"Servant"||"Cherbourg"|"Servant"|"3"|||
"HAWKSFORD, Mr Walter James"|45|"1st Class"|16988|"£30 "|||"Southampton"|"Sales Manager"|"3"|||
"HAYS, Mr Charles Melville"|55|"1st Class"|12749|"£93 10s "|||"Southampton"|"Businessman"||"307"||
"HAYS, Mrs Clara Jennings"|52|"1st Class"|12749|"£93 10s "|||"Southampton"||"3"|||
"HAYS, Miss Margaret Bechstein"|24|"1st Class"|11767|"£83 3s 2d"|||"Cherbourg"||"7"|||
"HEAD, Mr Christopher"|42|"1st Class"|113038|"£42 10s "|||"Southampton"|"Politician"||||
"HILLIARD, Mr Herbert Henry"|44|"1st Class"|17463|"£51 17s 3d"|||"Southampton"|"Buyer"||||
"HIPKINS, Mr William Edward"|55|"1st Class"|680|"£50 "|||"Southampton"|"Manufacturer"||||
"HIPPACH, Mrs Ida Sophia"|44|"1st Class"|111361|"£57 19s 7d"|||"Cherbourg"||"4"|||
"HIPPACH, Miss Jean Gertrude"|17|"1st Class"|111361|"£57 19s 7d"|||"Cherbourg"||"4"|||
"HOGEBOOM, Mrs Anna Louisa"|51|"1st Class"|13502|"£77 19s 2d"|||"Cherbourg"|"Of Independent Means"|"10"|||
"HOLVERSON, Mr Alexander Oskar"|42|"1st Class"|113789|"£52 "|||"Southampton"|||"38"||
"HOLVERSON, Mrs Mary Aline"|35|"1st Class"|113789|"£52 "|||"Southampton"||"8"|||
"HOMER, Mr Harry"|40|"1st Class"|111426|"£26 11s "|||"Southampton"|"Gambler"|"15"|||
"HOYT, Mr Frederick Maxfield"|38|"1st Class"|19943|"£100 "|||"Southampton"||"D"|||
"HOYT, Mrs Jane Anne"|31|"1st Class"|19943|"£100 "|||"Southampton"||"D"|||
"HOYT, Mr William Fisher"|42|"1st Class"|17600|"£30 13s 11d"|||"Cherbourg"|"Businessman"|"14"|||
"ICARD, Miss Rose Amélie"|39|"1st Class"|113572|"£80 "|"Servant"||"Southampton"|"Personal Maid"|"6"|||
"ISHAM, Miss Ann Elizabeth"|50|"1st Class"|17595|"£28 14s 3d"|||"Cherbourg"|||||
"ISMAY, Mr Joseph Bruce"|49|"1st Class"|112058||||"Southampton"|"Shipowner"|"C"|||
"JONES, Mr Charles Cresson"|46|"1st Class"|694|"£26 "|||"Southampton"|"Estate Manager"||"80"||
"JULIAN, Mr Henry Forbes"|50|"1st Class"|113044|"£26 "|||"Southampton"|"Metallurgist"||||
"KEEPING, Mr Edwin Herbert"|33|"1st Class"|113503|"£211 10s "|"Servant"||"Southampton"|"Servant"||"45"||
"KENT, Mr Edward Austin"|58|"1st Class"|11771|"£29 14s "|||"Cherbourg"|"Architect"||"258"||
"KENYON, Mr Frederick R."|41|"1st Class"|17464|"£51 17s 3d"|||"Southampton"|||||
"KENYON, Mrs Marion"|31|"1st Class"|17464|"£51 17s 3d"|||"Southampton"||"8"|||
"KIMBALL, Mr Edwin Nelson Jr."|42|"1st Class"|11753|"£52 11s 1d"|||"Southampton"||"5"|||
"KIMBALL, Mrs Gertrude"|45|"1st Class"|11753|"£52 11s 1d"|||"Southampton"||"5"|||
"KLABER, Mr Herman"||"1st Class"|113028|"£26 11s "|||"Southampton"|"Businessman"||||
"KREUCHEN, Miss Emilie"|29|"1st Class"|24160|"£211 6s 9d"|"Servant"||"Southampton"|"Personal Maid"|"2"|||
"LAMBERT-WILLIAMS, Mr Fletcher Fellows"||"1st Class"|113510|"£35 "|||"Southampton"|"Businessman"||||
"LEADER, Dr Alice"|49|"1st Class"|17465|"£25 18s 7d"|||"Southampton"|"Doctor"|"8"|||
"LEROY, Miss Berthe"|27|"1st Class"|17761|"£106 8s 6d"|"Servant"||"Cherbourg"|"Personal Maid"|"2"|||
"LESUEUR, Mr Gustave J."|35|"1st Class"|17755|"£512 6s 7d"|"Servant"||"Cherbourg"|"Servant"|"3"|||
"LEWY, Mr Ervin G."|31|"1st Class"|17612|"£27 14s 5d"|||"Cherbourg"|"Jeweller"||||
"LINDEBERG-LIND, Mr Erik Gustaf"|42|"1st Class"|17475|"£26 11s "|||"Southampton"|"Businessman"||||
"LINDSTRöM, Mrs Sigrid"|55|"1st Class"|112377|"£27 14s 5d"|||"Cherbourg"||"6"|||
"LINES, Mrs Elizabeth Lindsey"|50|"1st Class"|17592|"£39 8s "|||"Cherbourg"||"9"|||
"LINES, Miss Mary Conover"|16|"1st Class"|17592|"£39 8s "|||"Cherbourg"||"9"|||
"LONG, Mr Milton Clyde"|29|"1st Class"|113501|"£30 "|||"Southampton"|||"126"||
"LONGLEY, Miss Gretchen Fiske"|21|"1st Class"|13502|"£77 19s 2d"|||"Cherbourg"||"10"|||
"LORING, Mr Joseph Holland"|30|"1st Class"|113801|"£45 10s "|||"Southampton"|||||
"LURETTE, Miss Eugenie Elise"|59|"1st Class"|17569|"£146 10s 5d"|"Servant"||"Cherbourg"|"Personal Maid"|"6"|||
"MADILL, Miss Georgette Alexandra"|16|"1st Class"|24160|"£211 6s 9d"|||"Southampton"||"2"|||
"MAGUIRE, Mr John Edward"|30|"1st Class"|110469|"£26 "|||"Southampton"|||||
"MAIONI, Miss Roberta Elizabeth Mary"|19|"1st Class"|110152|"£86 10s "|"Servant"||"Southampton"|"Personal Maid"|"8"|||
"MARéCHAL, Mr Pierre"|28|"1st Class"|11774|"£29 14s "|||"Cherbourg"|"Aviator"|"7"|||
"MARVIN, Mr Daniel Warner"|18|"1st Class"|113773|"£53 2s "|||"Southampton"|"Of Independent Means"||||
"MARVIN, Mrs Mary Graham Carmichael"|18|"1st Class"|113773|"£53 2s "|||"Southampton"||"10"|||
"MAYNé, Mlle Bertha Antonine"|24|"1st Class"|17482|"£49 10s 1d"|||"Cherbourg"|"Singer"|"6"|||
"MCCAFFRY, Mr Thomas Francis"|46|"1st Class"|13050|"£75 4s 10d"|||"Southampton"|"Banker"||"292"||
"MCCARTHY, Mr Timothy J."|54|"1st Class"|17463|"£51 17s 3d"|||"Southampton"|"Buyer"||"175"||
"MCGOUGH, Mr James Robert"|35|"1st Class"|17473|"£26 5s 9d"|||"Southampton"|"Buyer"|"7"|||
"MEYER, Mr Edgar Joseph"|28|"1st Class"|17604|"£82 3s 5d"|||"Cherbourg"|"Mechanical Engineer"||||
"MEYER, Mrs Leila"|25|"1st Class"|17604|"£82 3s 5d"|||"Cherbourg"||"6"|||
"MILLET, Mr Francis Davis"|65|"1st Class"|13509|"£26 11s "|||"Cherbourg"|"Artist"||"249"||
"MINAHAN, Dr William Edward"|44|"1st Class"|19928|"£90 "|||" "|"Merchant"||"230"||
"MINAHAN, Mrs Lillian E."|37|"1st Class"|19928|"£90 "|||" "||"14"|||
"MINAHAN, Miss Daisy E."|33|"1st Class"|19928|"£90 "|||" "||"14"|||
"MOCK, Mr Philipp Edmund"|30|"1st Class"|13236|"£57 15s "|||"Cherbourg"||"11"|||
"MOLSON, Mr Harry Markland"|55|"1st Class"|113787|"£30 10s "|||"Southampton"|"Businessman"||||
"MOORE, Mr Clarence Bloomfield"|47|"1st Class"|113796|"£42 8s "|||"Southampton"|"Businessman"||||
"NATSCH, Mr Charles"|36|"1st Class"|17596|"£29 14s "|||"Cherbourg"|||||
"NEWELL, Mr Arthur Webster"|58|"1st Class"|35273|"£113 5s 6d"|||"Cherbourg"|||"122"||
"NEWELL, Miss Marjorie Anne"|23|"1st Class"|35273|"£113 5s 6d"|||"Cherbourg"||"6"|||
"NEWELL, Miss Madeleine"|31|"1st Class"|35273|"£113 5s 6d"|||"Cherbourg"||"6"|||
"NEWSOM, Miss Helen Monypeny"|19|"1st Class"|11752|"£26 5s 8d"|||"Southampton"||"5"|||
"NICHOLSON, Mr Arthur Ernest"|64|"1st Class"|693|"£26 "|||"Southampton"|||"263"||
"NOURNEY, Mr Alfred"|20|"1st Class"|2166|"£13 17s 3d"|||"Cherbourg"|"Gentleman"|"7"|||
"OLIVA Y OCANA, Doña Fermina"|39|"1st Class"|17758|"£108 18s "|"Servant"||"Cherbourg"|"Personal Maid"|"8"|||
"OMONT, Mr Alfred Fernand"|29|"1st Class"|12998|"£25 14s 10d"|||"Cherbourg"|"Dealer"|"7"|||
"OSTBY, Mr Engelhart Cornelius"|64|"1st Class"|113509|"£61 19s 7d"|||"Southampton"|"Jeweller"||"234"||
"OSTBY, Miss Helen Ragnhild"|22|"1st Class"|113509|"£61 19s 7d"|||"Southampton"||"5"|||
"OVIES Y RODRIGUEZ, Mr Servando Jose Florentino"|36|"1st Class"|17562|"£27 14s 5d"|||"Cherbourg"|"Merchant"||"189"||
"PARR, Mr William Henry Marsh"|29|"1st Class"|112052||"H&W Guarantee Group"||"Belfast"|"Electrician"||||
"PARTNER, Mr Austin"|40|"1st Class"|113043|"£28 10s "|||"Southampton"|"Stockbroker"||"166"||
"PAYNE, Mr Vivian Ponsonby"|22|"1st Class"|12749|"£93 10s "|"Servant"||"Southampton"|"Clerk"||||
"PEARS, Mr Thomas Clinton"|29|"1st Class"|113776|"£66 12s "|||"Southampton"|"Of Independent Means"||||
"PEARS, Mrs Edith"|22|"1st Class"|113776|"£66 12s "|||"Southampton"||"8"|||
"PEñASCO Y CASTELLANA, Mr Victor"|24|"1st Class"|17758|"£108 18s "|||"Cherbourg"|"Of Independent Means"||||
"PEñASCO Y CASTELLANA, Mrs Maria Josefa Perezde Soto y Vallejo"|22|"1st Class"|17758|"£108 18s "|||"Cherbourg"|"Of Independent Means"|"8"|||
"PERREAULT, Miss Mary Anne"|33|"1st Class"|12749|"£93 10s "|"Servant"||"Southampton"|"Personal Maid"|"3"|||
"PEUCHEN, Major Arthur Godfrey"|52|"1st Class"|113786|"£30 10s "|||"Southampton"||"6"|||
"PORTER, Mr Walter Chamberlain"|46|"1st Class"|110465|"£52 "|||"Southampton"|||"207"||
"POTTER, Mrs Lily Alexenia"|56|"1st Class"|11767|"£83 3s 2d"|||"Cherbourg"||"7"|||
"REUCHLIN, Mr Jonkheer Johan George"|38|"1st Class"|19972||||"Cherbourg"|||||
