,CAMPO,DESCRIP
226,SCONY2,Poblacion femenina soltera o nunca unida de 12 anos y mas
227,SCONY3,Poblacion masculina soltera o nunca unida de 12 anos y mas
228,SCONY4,Poblacion casada o unida de 12 anos y mas
229,SCONY5,Poblacion femenina casada o unida de 12 anos y mas
230,SCONY6,Poblacion masculina casada o unida de 12 anos y mas
231,SCONY7,Poblacion que estuvo casada o unida de 12 anos y mas
232,SCONY8,Poblacion femenina que estuvo casada o unida de 12 anos y mas
233,SCONY9,Poblacion masculina que estuvo casada o unida de 12 anos y mas
234,SCONY10,Poblacion casada o unida de 15 a 24 anos
235,SCONY11,Poblacion femenina casada o unida de 15 a 24 anos
236,SCONY12,Poblacion masculina casada o unida de 15 a 24 anos
237,RELIG1,Poblacion con religion catolica
238,RELIG2,"Protestantes, Evangelicas y Biblicas diferentes de evangelicas"
239,RELIG3,Poblacion con otras religiones diferentes a las anteriores
240,RELIG4,Poblacion sin religion
241,HOGAR1,Total de hogares censales
242,HOGAR2,Hogares censales con jefatura femenina
243,HOGAR3,Hogares censales con jefatura masculina
244,HOGAR4,Poblacion en hogares censales
245,HOGAR5,Poblacion en hogares censales con jefatura femenina
246,HOGAR6,Poblacion en hogares censales con jefatura masculina
247,HOGAR7,Hogares censales con jefa (e) menor de 30 anos
248,HOGAR8,Hogares censales con jefa menor de 30 anos
249,HOGAR9,Hogares censales con jefe menor de 30 anos
250,HOGAR10,Poblacion en hogares censales con jefa (e) menor de 30 anos
251,HOGAR11,Poblacion en hogares censales con  jefa menor de 30 anos
252,HOGAR12,Poblacion en hogares censales con  jefe menor de 30 anos
253,HOGAR13,Hogares censales con jefa (e) de 30 a 59 anos
254,HOGAR14,Hogares censales con jefa de 30 a 59 anos
255,HOGAR15,Hogares censales con jefe de 30 a 59 anos
256,HOGAR16,Poblacion en hogares censales con jefa (e) de 30 a 59 anos
257,HOGAR17,Poblacion en hogares censales con  jefa de 30 a 59 anos
258,HOGAR18,Poblacion en hogares censales con  jefe de 30 a 59 anos
259,HOGAR19,Hogares censales con jefa (e) de 60 anos y mas
260,HOGAR20,Hogares censales con jefa de 60 anos y mas
261,HOGAR21,Hogares censales con jefe de 60 anos y mas
262,HOGAR22,Poblacion en hogares censales con jefa (e) de 60 anos y mas
263,HOGAR23,Poblacion en hogares censales con  jefa de 60 anos y mas
264,HOGAR24,Poblacion en hogares censales con  jefe de 60 anos y mas
265,HOGAR25,Hogares censales nucleares conformados por la jefa con hijos menores de 18 anos
266,HOGAR26,Poblacion en hogares censales nucleares conformados por la jefa con hijos menores de 18 anos
267,VIV0,Total de viviendas
268,VIV1,Total de viviendas habitadas
269,VIV2,Viviendas particulares habitadas
270,VIV3,Ocupantes en viviendas particulares
271,VIV6,Viviendas particulares habitadas con piso de tierra
272,VIV7,Viviendas particulares habitadas con un dormitorio
273,VIV8,Viviendas particulares habitadas con dos dormitorios y mas
274,VIV9,Viviendas particulares habitadas con mas de 2.5 ocupantes por dormitorio
275,VIV10,Viviendas particulares habitadas con un solo cuarto
276,VIV11,Viviendas particulares habitadas con dos cuartos
277,VIV12,Viviendas particulares habitadas con 3 cuartos y mas
278,VIV13,Viviendas particulares con mas de 3 ocupantes por cuarto
279,VIV14,Viviendas particulares habitadas que disponen de luz electrica
280,VIV15,Viviendas particulares habitadas que no disponen de luz electrica
281,VIV16,Viviendas particulares habitadas que disponen de agua entubada en el ambito de la vivienda
282,VIV17,Viviendas particulares habitadas que no disponen de agua entubada en el ambito de la vivienda
283,VIV18,Ocupantes en viviendas particulares  con acceso a agua entubada en el ambito de la vivienda
284,VIV19,Viviendas particulares habitadas que disponen de excusado o sanitario
285,VIV20,Viviendas particulares habitadas que no disponen de excusado o sanitario
286,VIV21,Ocupantes en viviendas particulares que disponen de excusado con admision de agua y drenaje
287,VIV22,Viviendas particulares habitadas que disponen de drenaje
288,VIV23,Viviendas particulares habitadas que no disponen de drenaje
289,VIV24,"Viviendas particulares habitadas que disponen de luz electrica, agua entubada en el ambito de la vivienda y drenaje"
290,VIV25,"Viviendas particulares habitadas que no disponen de luz electrica, agua entubada en el ambito de la vivienda, ni drenaje"
291,VIV26,Viviendas particulares habitadas que disponen de refrigerador
292,VIV27,Viviendas particulares habitadas que disponen de lavadora
293,VIV28,Viviendas particulares habitadas que disponen de automovil o camioneta
294,VIV29,Viviendas particulares habitadas que no disponen de refrigerador ni lavadora
295,VIV30,"Viviendas particulares habitadas que no disponen de refrigerador, lavadora ni automovil o camioneta"
296,VIV31,Viviendas particulares habitadas que disponen de radio
297,VIV32,Viviendas particulares habitadas que disponen de televisor
298,VIV33,Viviendas particulares habitadas que disponen de computadora
299,VIV34,Viviendas particulares habitadas que disponen de linea telefonica fija
300,VIV35,Viviendas particulares habitadas que disponen de telefono celular
301,VIV36,Viviendas particulares habitadas que disponen de internet
302,VIV37,Viviendas particulares habitadas sin radio ni televisor
303,VIV38,Viviendas particulares habitadas sin linea telefonica ni telefono celular
304,VIV39,Viviendas particulares habitadas sin computadora ni Internet
305,VIV40,Viviendas particulares habitadas sin tecnologias de la informacion y la comunicacion (TIC)
306,VIV41,Viviendas particulares habitadas sin ningun bien
307,POB2_R,Porcentaje de poblacion de 0 a 2 anos
308,POB3_R,Porcentaje de poblacion de 0 a 4 anos
309,POB4_R,Porcentaje de poblacion de 3 a 5 anos
310,POB5_R,Porcentaje de poblacion de 6 a 11 anos
311,POB6_R,Porcentaje de poblacion de 8 a 14 anos
312,POB7_R,Porcentaje de poblacion de 12 a 14 anos
313,POB8_R,Porcentaje de poblacion de 0 a 14 anos
314,POB9_R,Porcentaje de poblacion de 15 a 17 anos
315,POB10_R,Porcentaje de poblacion de 15 a 24 anos
316,POB11_R,Porcentaje de poblacion de 15 a 29 anos
317,POB12_R,Porcentaje de poblacion de 15 a 64 anos
318,POB13_R,Porcentaje de poblacion de 18 a 24 anos
319,POB14_R,Porcentaje de poblacion de 30 a 49 anos
320,POB15_R,Porcentaje de poblacion de 50 a 59 anos
321,POB16_R,Porcentaje de poblacion de 60 a 64 anos
322,POB17_R,Porcentaje de poblacion de 3 anos y mas
323,POB18_R,Porcentaje de poblacion de 5 anos y mas
324,POB19_R,Porcentaje de poblacion de 12 anos y mas
325,POB20_R,Porcentaje de poblacion de 15 anos y mas
326,POB21_R,Porcentaje de poblacion de 18 anos y mas
327,POB22_R,Porcentaje de poblacion de 25 anos y mas
328,POB23_R,Porcentaje de poblacion de 60 anos y mas
329,POB24_R,Porcentaje de poblacion de 65 anos y mas
330,POB25_R,Porcentaje de poblacion de 70 anos y mas
331,POB26_R,Relacion hombres-mujeres
332,POB27_R,Razon de dependencia total
333,POB28_R,Razon de dependencia infantil
334,POB29_R,Razon de dependencia de vejez
335,POB30_R,Edad mediana
336,POB31_R,Porcentaje de poblacion femenina
337,POB32_R,Porcentaje de poblacion femenina de 0 a 2 anos
338,POB33_R,Porcentaje de poblacion femenina de 0 a 4 anos
339,POB34_R,Porcentaje de poblacion femenina de 3 a 5 anos
340,POB35_R,Porcentaje de poblacion femenina de 6 a 11 anos
341,POB36_R,Porcentaje de poblacion femenina de 8 a 14 anos
342,POB37_R,Porcentaje de poblacion femenina de 12 a 14 anos
343,POB38_R,Porcentaje de poblacion femenina de 0 a 14 anos
344,POB39_R,Porcentaje de poblacion femenina de 15 a 17 anos
345,POB40_R,Porcentaje de poblacion femenina de 15 a 24 anos
346,POB41_R,Porcentaje de poblacion femenina de 15 a 29 anos
347,POB42_R,Porcentaje de poblacion femenina de 15 a 49 anos
348,POB43_R,Porcentaje de poblacion femenina de 15 a 64 anos
349,POB44_R,Porcentaje de poblacion femenina de 18 a 24 anos
350,POB45_R,Porcentaje de poblacion femenina de 30 a 49 anos
351,POB46_R,Porcentaje de poblacion femenina de 50 a 59 anos
352,POB47_R,Porcentaje de poblacion femenina de 60 a 64 anos
353,POB48_R,Porcentaje de poblacion femenina de 3 anos y mas
354,POB49_R,Porcentaje de poblacion femenina de 5 anos y mas
355,POB50_R,Porcentaje de poblacion femenina de 12 anos y mas
356,POB51_R,Porcentaje de poblacion femenina de 15 anos y mas
357,POB52_R,Porcentaje de poblacion femenina de 18 anos y mas
358,POB53_R,Porcentaje de poblacion femenina de 25 anos y mas
359,POB54_R,Porcentaje de poblacion femenina de 60 anos y mas
360,POB55_R,Porcentaje de poblacion femenina de 65 anos y mas
361,POB56_R,Porcentaje de poblacion femenina de 70 anos y mas
362,POB57_R,Porcentaje de poblacion masculina
363,POB58_R,Porcentaje de poblacion masculina de 0 a 2 anos
364,POB59_R,Porcentaje de poblacion masculina de 0 a 4 anos
365,POB60_R,Porcentaje de poblacion masculina de 3 a 5 anos
366,POB61_R,Porcentaje de poblacion masculina de 6 a 11 anos
367,POB62_R,Porcentaje de poblacion masculina de 8 a 14 anos
368,POB63_R,Porcentaje de poblacion masculina de 12 a 14 anos
369,POB64_R,Porcentaje de poblacion masculina de 0 a 14 anos
370,POB65_R,Porcentaje de poblacion masculina de 15 a 17 anos
371,POB66_R,Porcentaje de poblacion masculina de 15 a 24 anos
372,POB67_R,Porcentaje de poblacion masculina de 15 a 29 anos
373,POB68_R,Porcentaje de poblacion masculina de 15 a 64 anos
374,POB69_R,Porcentaje de poblacion masculina de 18 a 24 anos
375,POB70_R,Porcentaje de poblacion masculina de 30 a 49 anos
376,POB71_R,Porcentaje de poblacion masculina de 50 a 59 anos
377,POB72_R,Porcentaje de poblacion masculina de 60 a 64 anos
378,POB73_R,Porcentaje de poblacion masculina de 3 anos y mas
379,POB74_R,Porcentaje de poblacion masculina de 5 anos y mas
380,POB75_R,Porcentaje de poblacion masculina de 12 anos y mas
381,POB76_R,Porcentaje de poblacion masculina de 15 anos y mas
382,POB77_R,Porcentaje de poblacion masculina de 18 anos y mas
383,POB78_R,Porcentaje de poblacion masculina de 25 anos y mas
384,POB79_R,Porcentaje de poblacion masculina de 60 anos y mas
385,POB80_R,Porcentaje de poblacion masculina de 65 anos y mas
386,POB81_R,Porcentaje de poblacion masculina de 70 anos y mas
387,FEC1_R,Promedio de hijos nacidos vivos
388,FEC2_R,Promedio de hijos nacidos vivos de las mujeres de 15 a 49 anos
389,FEC3_R,Porcentaje de mujeres de 15 a 19 anos con al menos un hijo nacido vivo
390,MOR1_R,Porcentaje de hijos fallecidos de las mujeres de 12 anos y mas
391,MIG1_R,Porcentaje de poblacion nacida en la entidad
392,MIG2_R,Porcentaje de poblacion femenina nacida en la entidad
393,MIG3_R,Porcentaje de poblacion masculina nacida en la entidad
394,MIG4_R,Porcentaje de poblacion nacida en otra entidad
395,MIG5_R,Porcentaje de poblacion femenina nacida en otra entidad
396,MIG6_R,Porcentaje de poblacion masculina nacida en otra entidad
397,MIG7_R,Porcentaje de poblacion nacida en otro pais
398,MIG8_R,Porcentaje de poblacion de 5 anos y mas residente en la entidad en junio de 2005
399,MIG9_R,Porcentaje de poblacion femenina de 5 anos y mas residente en la entidad en junio de 2005
400,MIG10_R,Porcentaje de poblacion masculina de 5 anos y mas residente en la entidad en junio de 2005
401,MIG11_R,Porcentaje de poblacion de 5 anos y mas residente en otra entidad en junio de 2005
402,MIG12_R,Porcentaje de poblacion femenina de 5 anos y mas residente en otra entidad en  junio de 2005
403,MIG13_R,Porcentaje de poblacion masculina de 5 anos y mas residente en otra entidad en  junio de 2005
404,MIG14_R,Porcentaje de poblacion de 5 anos y mas residente en otro pais en junio de 2005
405,MIG15_R,Porcentaje de poblacion de 5 anos y mas residente en Estados Unidos de America  en  junio de 2005
406,MIG16_R,Relacion hombres-mujeres de la poblacion de 5 anos y mas residente en Estados Unidos de America en junio de 2005
407,INDI1_R,Porcentaje de poblacion de 3 anos y mas que habla alguna lengua indigena
408,INDI2_R,Porcentaje de poblacion femenina de 3 anos y mas que habla alguna lengua indigena
409,INDI3_R,Porcentaje de poblacion masculina de 3 anos y mas que habla alguna lengua indigena
410,INDI4_R,Porcentaje de poblacion de 3 anos y mas que habla alguna lengua indigena y no habla espanol
411,INDI5_R,Porcentaje de poblacion femenina de 3 anos y mas que habla alguna lengua indigena y no habla espanol
412,INDI6_R,Porcentaje de poblacion masculina de 3 anos y mas que habla alguna lengua indigena y no habla espanol
413,INDI7_R,Porcentaje de poblacion de 3 anos y mas que habla alguna lengua indigena y habla espanol
414,INDI8_R,Porcentaje de poblacion femenina de 3 anos y mas que habla alguna lengua indigena y habla espanol
415,INDI9_R,Porcentaje de poblacion masculina de 3 anos y mas que habla alguna lengua indigena y habla espanol
416,INDI10_R,Porcentaje de poblacion de 5 anos y mas que habla alguna lengua indigena
417,INDI11_R,Porcentaje de poblacion femenina de 5 anos y mas que habla alguna lengua indigena
418,INDI12_R,Porcentaje de poblacion masculina de 5 anos y mas que habla alguna lengua indigena
419,INDI13_R,Porcentaje de poblacion de 5 anos y mas que habla alguna lengua indigena y no habla espanol
420,INDI14_R,Porcentaje de poblacion femenina de 5 anos y mas que habla alguna lengua indigena y no habla espanol
421,INDI15_R,Porcentaje de poblacion masculina de 5 anos y mas que habla alguna lengua indigena y no habla espanol
422,INDI16_R,Porcentaje de poblacion de 5 anos y mas que habla alguna lengua indigena y habla espanol
423,INDI17_R,Porcentaje de poblacion femenina de 5 anos y mas que habla alguna lengua indigena y habla espanol
424,INDI18_R,Porcentaje de poblacion masculina de 5 anos y mas que habla alguna lengua indigena y habla espanol
425,INDI19_R,Porcentaje de hogares censales indigenas
426,INDI20_R,Porcentaje de poblacion en hogares censales indigenas
427,DISC1_R,Porcentaje de poblacion con discapacidad.
428,DISC2_R,Porcentaje de poblacion femenina con discapacidad
429,DISC3_R,Porcentaje de poblacion masculina con discapacidad
430,DISC4_R,Porcentaje de poblacion de 0 a 14 anos con discapacidad.
431,DISC5_R,Porcentaje de la poblacion de 15 a 59 anos con discapacidad.
432,DISC6_R,Porcentaje de la poblacion 60 anos y mas con discapacidad.
433,DISC7_R,"Porcentaje de poblacion con limitacion para caminar o moverse, subir o bajar"
434,DISC8_R,"Porcentaje de poblacion con limitacion para ver, aun usando lentes"
435,DISC9_R,"Porcentaje de poblacion con limitacion para hablar, comunicarse o conversar."
436,DISC10_R,Porcentaje de poblacion con limitacion para oir
437,DISC11_R,"Porcentaje de poblacion con limitacion para vestirse, banarse o comer."
